0,1,2,3,4,5,6
Balance Sheet of Axis Bank (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,619.47,617.31,615.37,613.95,612.75,
Total Share Capital,619.47,617.31,615.37,613.95,612.75,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,177997.47,149617.68,124377.87,114411.51,100990.26,
Total Reserves and Surplus,177997.47,149617.68,124377.87,114411.51,100990.26,
Total ShareHolders Funds,179725.12,151061.58,125416.66,115174.06,101603.01,
Deposits,1172952.02,1068641.39,946945.21,821720.91,707306.08,
Borrowings,184146.52,196811.75,186300.04,185133.86,142873.16,
Other Liabilities and Provisions,73106.22,60693.88,58663.63,53149.28,44336.17,
Total Capital and Liabilities,1609929.88,1477208.60,1317325.53,1175178.11,996118.42,
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,73638.44,86077.48,66117.76,94034.51,51808.56,
Balances with Banks Money at Call and Short Notice,26093.66,28376.90,40293.05,16952.62,9921.26,
Investments,396141.79,331527.25,288814.83,275597.20,226119.62,
Advances,1040811.32,965068.38,845302.84,707695.95,623720.19,
Fixed Assets,6291.70,5684.58,4733.85,4572.35,4245.03,
Other Assets,66952.97,60474.00,72063.20,76325.48,80303.76,
Total Assets,1609929.88,1477208.60,1317325.53,1175178.11,996118.42,
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,0.00,5705.00,4910.00,4758.00,4594.00,
Number of Employees,0.00,104332.00,91898.00,85815.00,78307.00,
Capital Adequacy Ratios (%),17.07,16.63,17.64,18.54,19.12,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),0.00,14.20,14.57,16.34,16.47,
Tier 2 (%),0.00,2.43,3.07,2.20,2.65,
ASSETS QUALITY,,,,,,
Gross NPA,14490.11,33034.79,36467.35,21822.32,25314.84,
Gross NPA (%),1.28,1.43,2.02,2.82,4.00,
Net NPA,3685.45,14345.04,3558.92,5512.16,6993.52,
Net NPA (%),0.33,0.31,0.39,0.73,1.05,
Net NPA To Advances (%),1.74,0.31,0.39,0.73,1.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,0.00,73625.10,68176.55,66947.44,50375.27,
Contingent Liabilities,0.00,1908892.46,1441248.94,1292104.57,80303.76,
