0,1,2,3,4,5,6
Cash Flow of Axis Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,4904.23,6974.09,121.57,5467.56,12393.75,
Net CashFlow From Operating Activities,29613.28,37566.92,-46693.30,34192.28,-15971.85,
Net Cash Used In Investing Activities,-9767.04,-18736.52,-10500.31,-12630.39,-5435.51,
Net Cash Used From Financing Activities,10117.97,4931.34,50400.78,-4628.87,18671.58,
Foreign Exchange Gains / Losses,99.44,-12.00,-8.47,-2.28,-37.81,
Net Inc/Dec In Cash And Cash Equivalents,30063.65,23749.74,-6801.29,16930.74,-2773.59,
Cash And Cash Equivalents Begin of Year,67204.64,43454.89,50256.18,33325.44,36099.03,
Cash And Cash Equivalents End Of Year,97268.28,67204.64,43454.89,50256.18,33325.44,
