0,1,2,3,4,5,6
Profit & Loss account of Axis Bank (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,25867.82,21950.43,19166.24,15379.35,10403.11,
Income from Investments,9117.09,8343.13,7746.98,6394.27,4438.68,
Interest on Balance with RBI and Other Inter-Bank funds,231.26,166.78,111.26,98.43,182.62,
Others,262.43,180.81,158.10,122.60,130.39,
Total Interest Earned,35478.60,30641.16,27182.57,21994.65,15154.81,
Other Income,8365.05,7405.22,6551.11,5420.22,4632.13,
Total Income,43843.64,38046.38,33733.68,27414.86,19786.94,
EXPENDITURE,,,,,,
Interest Expended,21254.46,18689.52,17516.31,13976.90,8591.82,
Payments to and Provisions for Employees,3114.97,2601.35,2376.98,2080.17,1613.90,
Depreciation,405.67,363.93,351.73,342.24,289.59,
Operating Expenses (excludes Employee Cost & Depreciation),5683.10,4935.49,4185.52,3584.70,2875.94,
Total Operating Expenses,9203.75,7900.77,6914.24,6007.10,4779.43,
Provision Towards Income Tax,3852.37,3489.74,2720.58,2256.23,1953.03,
Provision Towards Deferred Tax,-153.36,-358.78,-347.32,-210.60,-205.52,
Other Provisions and Contingencies,0.00,0.00,0.00,0.00,0.00,
Total Provisions and Contingencies,6027.62,5238.42,4123.70,3188.66,3027.20,
Total Expenditure,36485.82,31828.71,28554.25,23172.66,16398.45,
Net Profit / Loss for The Year,7357.82,6217.67,5179.43,4242.21,3388.49,
Net Profit / Loss After EI & Prior Year Items,7357.82,6217.67,5179.43,4242.21,3388.49,
Profit / Loss Brought Forward,13501.45,10029.26,7329.45,4969.77,3427.43,
Total Profit / Loss available for Appropriations,20859.27,16246.93,12508.88,9211.98,6815.92,
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,1839.46,1554.42,1294.86,1060.55,847.12,
Transfer To / From Capital Reserve,63.14,38.87,141.46,51.90,4.76,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,1087.54,939.69,843.86,658.24,573.00,
Tax On Dividend,221.42,161.44,143.37,111.83,97.35,
Balance Carried Over To Balance Sheet,17623.49,13501.45,10029.26,7329.45,4969.77,
Total Appropriations,20859.27,16246.93,12508.88,9211.98,6815.92,
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),31.18,132.56,119.67,102.94,82.95,
Diluted EPS (Rs.),30.85,132.23,118.85,102.20,81.61,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),230.00,200.00,180.00,160.00,140.00,
