0,1,2,3,4,5,6
Key Financial Ratios of Axis Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
Per Share Ratios,,,,,,
Basic EPS (Rs.),5.99,18.20,1.13,15.40,34.59,
Diluted EPS (Rs.),5.97,18.09,1.12,15.34,34.40,
Cash EPS (Rs.),8.51,20.95,3.29,17.49,36.38,
Book Value [Excl. Reval Reserve]/Share (Rs.),301.05,259.27,247.20,232.83,223.12,
Book Value [Incl. Reval Reserve]/Share (Rs.),301.05,259.27,247.20,232.83,223.12,
Dividend/Share (Rs.),0.00,1.00,0.00,5.00,5.00,
Operating Revenue / Share (Rs.),221.98,213.82,178.37,185.98,172.01,
Net Profit/Share (Rs.),5.77,18.19,1.07,15.36,34.51,
Per Employee Ratios,,,,,,
Interest Income/ Employee (Rs.),8448227.33,8877263.59,7679456.55,7867276.24,8175533.34,
Net Profit/ Employee (Rs.),219478.74,755022.33,46244.39,649854.14,1640303.74,
Business/ Employee (Rs.),163410991.87,168432242.98,149842826.65,139083338.45,138973029.46,
Per Branch Ratios,,,,,,
Interest Income/ Branch (Rs.),138328527.83,135767335.06,123630332.97,134812826.57,141143376.03,
Net Profit/ Branches (Rs.),3593673.59,11547180.99,744480.96,11135832.93,28318398.07,
Business/ Branches (Rs.),2675638457.82,2575973612.35,2412295508.51,2383317606.84,2399246842.98,
Key Performance Ratios,,,,,,
ROCE (%),2.68,2.47,2.34,3.05,3.15,
CASA (%),41.19,44.37,53.75,51.41,47.33,
Net Profit Margin (%),2.59,8.50,0.60,8.26,20.06,
Operating Profit Margin (%),3.99,13.42,0.93,12.35,31.38,
Return on Assets (%),0.17,0.58,0.03,0.61,1.56,
Return on Equity / Networth (%),1.91,7.01,0.43,6.59,15.46,
Net Interest Margin (X),2.75,2.71,2.69,3.00,3.20,
Cost to Income (%),42.47,45.44,47.28,40.96,38.54,
Interest Income/Total Assets (%),6.84,6.86,6.62,7.40,7.80,
Non-Interest Income/Total Assets (%),1.69,1.63,1.58,1.94,1.78,
Operating Profit/Total Assets (%),-1.51,-1.05,-1.54,-1.33,-0.21,
Operating Expenses/Total Assets (%),1.89,1.97,2.02,2.02,1.92,
Interest Expenses/Total Assets (%),4.08,4.15,3.92,4.39,4.59,
Valuation Ratios,,,,,,
Enterprise Value (Rs. Cr),810126.08,865733.45,696897.31,606100.09,540761.59,
EV Per Net Sales (X),12.93,15.74,15.22,13.61,13.19,
Price To Book Value (X),1.26,2.99,2.06,2.11,1.99,
Price To Sales (X),1.71,3.63,2.86,2.64,2.58,
Retention Ratios (%),100.00,100.00,-409.74,61.74,85.51,
Earnings Yield (X),0.02,0.02,0.00,0.03,0.08,
