0,1,2,3,4,5,6
Cash Flow of Bajaj Finserv (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,2049.40,1536.92,974.62,563.22,245.10,
Net CashFlow From Operating Activities,1723.80,1311.80,787.71,610.59,169.36,
Net Cash Used In Investing Activities,-1722.68,-1272.65,-805.14,-565.49,-149.28,
Net Cash Used From Financing Activities,-4.05,-25.42,3.05,-47.73,-0.18,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-2.93,13.73,-14.38,-2.63,19.90,
Cash And Cash Equivalents Begin of Year,20.97,7.24,21.62,24.25,4.35,
Cash And Cash Equivalents End Of Year,18.04,20.97,7.24,21.62,24.25,
