0,1,2,3,4,5,6
Profit & Loss account of Bajaj Finserv (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],2261.68,1699.29,1076.47,623.83,323.73,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],2261.68,1699.29,1076.47,623.83,323.73,
Total Operating Revenues,2261.68,1699.29,1076.47,623.83,323.73,
Other Income,37.51,34.62,71.14,105.17,68.30,
Total Revenue,2299.19,1733.91,1147.61,729.00,392.03,
EXPENSES,,,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
Employee Benefit Expenses,158.08,126.83,114.21,111.77,101.88,
Finance Costs,0.00,0.00,0.00,0.00,0.00,
Depreciation And Amortisation Expenses,4.26,3.48,3.20,4.22,4.68,
Other Expenses,87.45,66.68,55.58,49.79,40.37,
Total Expenses,249.79,196.99,172.99,165.78,146.93,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2049.40,1536.92,974.62,563.22,245.10,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,2049.40,1536.92,974.62,563.22,245.10,
Tax Expenses-Continued Operations,,,,,,
Current Tax,490.53,366.61,241.12,141.29,67.84,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,0.00,0.25,0.98,-2.30,-1.52,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,490.53,366.86,242.10,138.99,66.32,
Profit/Loss After Tax And Before ExtraOrdinary Items,1558.87,1170.06,732.52,424.23,178.78,
Profit/Loss From Continuing Operations,1558.87,1170.06,732.52,424.23,178.78,
Profit/Loss For The Period,1558.87,1170.06,732.52,424.23,178.78,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),9.80,7.30,4.60,26.70,11.20,
Diluted EPS (Rs.),9.70,7.30,4.60,26.60,11.20,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,0.00,127.43,63.65,47.74,0.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),100.00,100.00,80.00,80.00,60.00,
