0,1,2,3,4,5,6
Profit & Loss account of Bajaj Finserv (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],200.24,144.49,141.47,135.77,119.81,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],200.24,144.49,141.47,135.77,119.81,
Total Operating Revenues,200.24,144.49,141.47,135.77,119.81,
Other Income,11.42,12.81,10.78,8.41,6.25,
Total Revenue,211.66,157.30,152.25,144.18,126.06,
EXPENSES,,,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
Employee Benefit Expenses,16.63,15.19,12.95,10.79,9.88,
Finance Costs,0.00,0.00,0.00,0.00,0.00,
Depreciation And Amortisation Expenses,2.54,1.30,1.28,1.56,10.03,
Other Expenses,34.39,35.30,31.86,24.13,21.98,
Total Expenses,53.56,51.79,46.09,36.48,41.89,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",158.10,105.51,106.16,107.70,84.17,
Exceptional Items,0.00,0.00,-27.00,0.00,139.07,
Profit/Loss Before Tax,158.10,105.51,79.16,107.70,223.24,
Tax Expenses-Continued Operations,,,,,,
Current Tax,30.73,20.36,27.45,31.85,43.27,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,15.70,
Deferred Tax,1.44,1.64,0.87,-0.72,7.33,
Tax For Earlier Years,0.00,0.12,0.00,0.00,0.00,
Total Tax Expenses,32.17,22.12,28.32,31.13,34.90,
Profit/Loss After Tax And Before ExtraOrdinary Items,125.93,83.39,50.84,76.57,188.34,
Profit/Loss From Continuing Operations,125.93,83.39,50.84,76.57,188.34,
Profit/Loss For The Period,125.93,83.39,50.84,76.57,188.34,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),7.90,5.20,3.30,5.30,13.00,
Diluted EPS (Rs.),7.90,5.20,3.30,5.30,13.00,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,27.85,27.85,23.87,21.70,18.09,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),35.00,35.00,30.00,30.00,25.00,
