0,1,2,3,4,5,6
Quarterly Results of Bajaj Finserv (in Rs. Cr.),Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,
Net Sales/Income from operations,20.77,80.48,28.45,24.59,25.17,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,20.77,80.48,28.45,24.59,25.17,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,3.56,3.48,3.81,2.93,2.97,
depreciat,0.32,0.32,0.32,0.32,0.32,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,9.86,9.55,9.47,7.62,7.14,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",7.03,67.13,14.85,13.72,14.74,
Other Income,3.65,2.80,3.12,2.82,2.74,
"P/L Before Int., Excpt. Items & Tax",10.68,69.93,17.97,16.54,17.48,
Interest,--,--,--,--,--,
P/L Before Exceptional Items & Tax,10.68,69.93,17.97,16.54,17.48,
Exceptional Items,--,-7.24,--,-27.00,--,
P/L Before Tax,10.68,62.69,17.97,-10.46,17.48,
Tax,5.33,6.33,6.86,6.82,6.35,
P/L After Tax from Ordinary Activities,5.35,56.36,11.11,-17.28,11.13,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,5.35,56.36,11.11,-17.28,11.13,
Equity Share Capital,79.56,79.56,79.56,79.56,79.56,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,0.30,3.50,0.70,-1.10,0.70,
Diluted EPS,0.30,3.50,0.70,-1.10,0.70,
EPS After Extra Ordinary,,,,,,
Basic EPS.,0.30,3.50,0.70,-1.10,0.70,
Diluted EPS.,0.30,3.50,0.70,-1.10,0.70,
Public Share Holding,,,,,,
No Of Shares (Crores),6.54,6.54,6.54,6.54,6.54,
Share Holding (%),41.11,41.11,41.11,41.11,41.11,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,9.37,9.37,9.37,9.37,9.37,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,100.00,100.00,100.00,100.00,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,58.89,58.89,58.89,58.89,58.89,
