0,1,2,3,4,5,6
Key Financial Ratios of Bajaj Finserv (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
Per Share Ratios,,,,,,
Basic EPS (Rs.),41.90,19.30,8.90,4.40,10.30,
Diluted EPS (Rs.),41.90,19.30,8.90,4.40,10.30,
Cash EPS (Rs.),42.09,19.40,8.98,4.49,10.34,
Book Value [ExclRevalReserve]/Share (Rs.),222.16,198.62,180.96,173.81,169.41,
Book Value [InclRevalReserve]/Share (Rs.),222.16,198.62,180.96,173.81,169.41,
Dividend / Share(Rs.),5.00,2.50,1.75,1.75,1.75,
Revenue from Operations/Share (Rs.),49.00,26.58,15.20,9.67,15.23,
PBDIT/Share (Rs.),43.03,20.58,10.59,6.63,12.33,
PBIT/Share (Rs.),42.85,20.48,10.51,6.54,12.24,
PBT/Share (Rs.),42.85,20.48,10.51,6.54,12.24,
Net Profit/Share (Rs.),41.90,19.30,8.90,4.40,10.25,
Profitability Ratios,,,,,,
PBDIT Margin (%),87.80,77.42,69.68,68.52,80.96,
PBIT Margin (%),87.43,77.05,69.12,67.57,80.39,
PBT Margin (%),87.43,77.05,69.12,67.57,80.39,
Net Profit Margin (%),85.51,72.60,58.54,45.49,67.32,
Return on Networth / Equity (%),18.86,9.71,4.91,2.53,6.05,
Return on Capital Employed (%),19.12,10.21,5.74,3.73,6.00,
Return on Assets (%),18.52,9.54,4.83,2.48,5.93,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),21.66,13.14,8.26,5.46,8.82,
Liquidity Ratios,,,,,,
Current Ratio (X),98.41,30.82,46.20,7.57,16.73,
Quick Ratio (X),98.41,30.82,46.20,7.57,16.73,
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),17.89,9.06,19.66,0.00,17.07,
Dividend Payout Ratio (CP) (%),17.82,9.02,19.47,0.00,16.92,
Earnings Retention Ratio (%),82.11,90.94,80.34,0.00,82.93,
Cash Earnings Retention Ratio (%),82.18,90.98,80.53,0.00,83.08,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),73036.32,111901.88,82399.04,65051.70,26888.23,
EV/Net Operating Revenue (X),93.65,264.51,340.63,422.69,110.96,
EV/EBITDA (X),106.66,341.64,488.81,616.84,137.05,
MarketCap/Net Operating Revenue (X),93.66,264.65,340.68,422.70,111.89,
Retention Ratios (%),82.10,90.93,80.33,0.00,82.92,
Price/BV (X),20.66,35.42,28.62,23.52,10.06,
Price/Net Operating Revenue,93.66,264.65,340.69,422.71,111.89,
Earnings Yield,0.01,0.00,0.00,0.00,0.01,
