0,1,2,3,4,5,6
Key Financial Ratios of Bajaj Finserv (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
Per Share Ratios,,,,,,
Basic EPS (Rs.),7.90,5.20,3.30,5.30,13.00,
Diluted EPS (Rs.),7.90,5.20,3.30,5.30,13.00,
Cash EPS (Rs.),8.07,5.32,3.28,5.40,13.71,
Book Value [ExclRevalReserve]/Share (Rs.),160.90,154.79,151.30,99.88,96.09,
Book Value [InclRevalReserve]/Share (Rs.),160.90,154.79,151.30,99.88,96.09,
Dividend / Share(Rs.),1.75,1.75,1.50,1.50,1.25,
Revenue from Operations/Share (Rs.),12.58,9.08,8.89,9.38,8.28,
PBDIT/Share (Rs.),10.10,6.71,6.75,7.55,6.51,
PBIT/Share (Rs.),9.94,6.63,6.67,7.44,5.82,
PBT/Share (Rs.),9.94,6.63,4.97,7.44,15.43,
Net Profit/Share (Rs.),7.91,5.24,3.20,5.29,13.02,
Profitability Ratios,,,,,,
PBDIT Margin (%),80.22,73.92,75.94,80.47,78.62,
PBIT Margin (%),78.95,73.02,75.04,79.32,70.25,
PBT Margin (%),78.95,73.02,55.95,79.32,186.32,
Net Profit Margin (%),62.88,57.71,35.93,56.39,157.19,
Return on Networth / Equity (%),4.91,3.38,2.11,5.29,13.54,
Return on Capital Employed (%),4.88,3.36,2.10,5.26,13.43,
Return on Assets (%),4.77,3.28,2.04,5.13,12.96,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),7.58,5.69,5.70,9.10,8.24,
Liquidity Ratios,,,,,,
Current Ratio (X),11.74,4.10,3.04,1.85,4.55,
Quick Ratio (X),11.74,4.10,3.04,1.85,4.55,
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),22.11,33.39,46.95,28.34,9.60,
Dividend Payout Ratio (CP) (%),21.67,32.88,45.79,27.77,9.11,
Earnings Retention Ratio (%),77.89,66.61,53.05,71.66,90.40,
Cash Earnings Retention Ratio (%),78.33,67.12,54.21,72.23,90.89,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),22105.56,12566.07,12237.40,8842.47,7564.66,
EV/Net Operating Revenue (X),110.40,86.97,86.50,65.13,63.14,
EV/EBITDA (X),137.61,117.65,113.90,80.93,80.30,
MarketCap/Net Operating Revenue (X),110.41,87.02,86.52,65.15,63.35,
Retention Ratios (%),77.88,66.60,53.04,71.65,90.39,
Price/BV (X),8.64,5.10,5.08,6.12,5.46,
Price/Net Operating Revenue,110.41,87.02,86.52,65.15,63.35,
Earnings Yield,0.01,0.01,0.00,0.01,0.02,
