0,1,2,3,4
Key Financial Ratios of Bajaj Finserv (in Rs. Cr.),Mar 10,Mar 09,Mar 08,
Per Share Ratios,,,,
Basic EPS (Rs.),2.03,2.86,3.04,
Diluted EPS (Rs.),2.03,2.86,3.04,
Cash EPS (Rs.),3.55,4.92,5.14,
Book Value [ExclRevalReserve]/Share (Rs.),84.19,83.33,81.64,
Book Value [InclRevalReserve]/Share (Rs.),84.19,83.33,81.64,
Dividend / Share(Rs.),1.00,1.00,1.00,
Revenue from Operations/Share (Rs.),8.78,7.74,7.19,
PBDIT/Share (Rs.),5.62,6.43,6.49,
PBIT/Share (Rs.),4.10,4.38,4.44,
PBT/Share (Rs.),4.10,4.38,4.44,
Net Profit/Share (Rs.),2.03,2.86,3.04,
Profitability Ratios,,,,
PBDIT Margin (%),63.95,83.08,90.30,
PBIT Margin (%),46.67,56.51,61.73,
PBT Margin (%),46.67,56.50,61.73,
Net Profit Margin (%),23.12,36.91,42.27,
Return on Networth / Equity (%),2.41,3.43,3.72,
Return on Capital Employed (%),1.90,2.69,2.89,
Return on Assets (%),1.78,2.56,2.80,
Total Debt/Equity (X),0.26,0.26,0.26,
Asset Turnover Ratio (%),7.71,6.94,6.63,
Liquidity Ratios,,,,
Current Ratio (X),0.79,1.10,1.86,
Quick Ratio (X),0.79,1.10,1.86,
Inventory Turnover Ratio (X),0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),49.23,34.98,32.92,
Dividend Payout Ratio (CP) (%),28.17,20.34,19.46,
Earnings Retention Ratio (%),50.77,65.02,67.08,
Cash Earnings Retention Ratio (%),71.83,79.66,80.54,
Valuation Ratios,,,,
Enterprise Value (Cr.),5147.53,2739.42,0.00,
EV/Net Operating Revenue (X),40.50,24.45,0.00,
EV/EBITDA (X),63.32,29.43,0.00,
MarketCap/Net Operating Revenue (X),38.07,21.69,0.00,
Retention Ratios (%),50.76,65.01,67.07,
Price/BV (X),3.97,2.02,0.00,
Price/Net Operating Revenue,38.07,21.69,0.00,
Earnings Yield,0.01,0.02,0.00,
