0,1,2,3,4,5,6
Balance Sheet of Axis Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,564.34,514.33,513.31,479.01,476.57,
Total Share Capital,564.34,514.33,513.31,479.01,476.57,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,84383.51,66161.97,62931.95,55283.53,52688.34,
Total Reserves and Surplus,84383.51,66161.97,62931.95,55283.53,52688.34,
Total ShareHolders Funds,84947.84,66676.30,63445.26,55762.54,53164.91,
Deposits,640104.94,548471.34,453622.72,414378.79,357967.56,
Borrowings,147954.13,152775.78,148016.14,105030.87,99226.38,
Other Liabilities and Provisions,42157.90,33073.12,26245.45,26295.47,15108.77,
Total Capital and Liabilities,915164.82,800996.53,691329.58,601467.67,525467.62,
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,84959.24,35099.03,35481.06,30857.94,22361.15,
Balances with Banks Money at Call and Short Notice,12309.04,32105.60,7973.83,19398.24,10964.29,
Investments,156734.32,174969.28,153876.08,128793.37,122006.20,
Advances,571424.16,494797.97,439650.30,373069.35,338773.72,
Fixed Assets,4312.90,4036.64,3971.68,3746.89,3523.17,
Other Assets,85425.16,59988.01,50376.62,45601.87,27839.08,
Total Assets,915164.82,800996.53,691329.58,601467.67,525467.62,
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,4528.00,4050.00,3703.00,3304.00,2904.00,
Number of Employees,74140.00,61940.00,59614.00,56617.00,50135.00,
Capital Adequacy Ratios (%),17.53,15.84,16.57,14.95,15.29,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),14.49,12.54,13.04,11.87,12.51,
Tier 2 (%),3.04,3.30,3.53,3.08,2.78,
ASSETS QUALITY,,,,,,
Gross NPA,30233.82,29789.00,34248.64,21280.48,6087.51,
Gross NPA (%),5.00,5.00,7.00,5.00,2.00,
Net NPA,9360.41,18351.00,16592.00,8626.60,2522.14,
Net NPA (%),1.56,2.06,3.69,2.27,0.74,
Net NPA To Advances (%),2.00,2.00,4.00,2.00,1.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,47842.76,51972.86,49565.60,81055.36,80764.78,
Contingent Liabilities,922968.76,755765.27,0.00,0.00,668725.82,
