0,1,2,3,4,5,6
Balance Sheet of Axis Bank (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,474.10,469.84,467.95,413.20,410.55,
Total Share Capital,474.10,469.84,467.95,413.20,410.55,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,44202.41,37750.64,32639.91,22395.34,18588.28,
Total Reserves and Surplus,44202.41,37750.64,32639.91,22395.34,18588.28,
Total ShareHolders Funds,44676.52,38220.49,33107.86,22808.54,18998.83,
Deposits,322441.94,280944.56,252613.59,220104.30,189237.80,
Borrowings,79758.27,50290.94,43951.10,34071.67,26267.88,
Other Liabilities and Provisions,15055.67,13788.89,10888.11,8643.28,8208.86,
Total Capital and Liabilities,461932.39,383244.89,340560.66,285627.79,242713.37,
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,19818.84,17041.32,14792.09,10702.92,13886.16,
Balances with Banks Money at Call and Short Notice,16280.19,11197.38,5642.87,3230.99,7522.49,
Investments,132342.83,113548.43,113737.54,93192.09,71991.62,
Advances,281083.03,230066.76,196965.96,169759.54,142407.83,
Fixed Assets,2514.31,2410.21,2355.64,2259.33,2273.15,
Other Assets,9893.19,8980.79,7066.56,6482.93,4632.12,
Total Assets,461932.39,383244.89,340560.66,285627.79,242713.37,
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,2589.00,2402.00,1947.00,1622.00,1390.00,
Number of Employees,42230.00,42420.00,37901.00,31738.00,26435.00,
Capital Adequacy Ratios (%),15.09,16.07,17.00,13.66,12.65,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),12.07,12.62,12.23,9.45,9.41,
Tier 2 (%),3.02,3.45,4.77,4.21,3.24,
ASSETS QUALITY,,,,,,
Gross NPA,4110.19,3146.41,2393.42,1806.30,1599.42,
Gross NPA (%),1.00,1.00,1.00,1.00,1.00,
Net NPA,1316.71,1024.62,704.13,1186.74,1186.74,
Net NPA (%),0.46,0.44,0.36,0.25,0.26,
Net NPA To Advances (%),0.00,0.00,0.00,0.00,0.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,49008.69,36601.58,27894.88,34634.60,32473.11,
Contingent Liabilities,640183.59,611446.37,576010.77,514871.98,477864.55,
