0,1,2,3,4,5,6
Profit & Loss account of Axis Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,48302.97,41322.02,34137.47,33124.96,30040.56,
Income from Investments,11246.03,11349.07,9983.30,9622.82,9377.59,
Interest on Balance with RBI and Other Inter-Bank funds,1095.26,693.35,387.83,503.84,295.25,
Others,1990.90,1621.33,1271.71,1290.54,1274.64,
Total Interest Earned,62635.16,54985.77,45780.31,44542.16,40988.04,
Other Income,15536.56,13130.34,10967.09,11691.31,9371.46,
Total Income,78171.72,68116.11,56747.40,56233.47,50359.50,
EXPENDITURE,,,,,,
Interest Expended,37428.95,33277.60,27162.58,26449.04,24155.07,
Payments to and Provisions for Employees,5321.00,4747.32,4312.96,3891.86,3376.01,
Depreciation,772.95,709.72,568.10,508.80,443.91,
Operating Expenses (excludes Employee Cost & Depreciation),11210.67,10376.36,9109.29,7799.24,6280.90,
Total Operating Expenses,17304.62,15833.41,13990.34,12199.91,10100.82,
Provision Towards Income Tax,2891.25,3009.84,1671.19,4988.90,4241.96,
Provision Towards Deferred Tax,385.76,-712.36,-1825.30,-3200.62,-71.87,
Other Provisions and Contingencies,18533.91,12031.02,15472.91,12116.96,0.00,
Total Provisions and Contingencies,21810.92,14328.50,15318.80,13905.24,7879.95,
Total Expenditure,76544.50,63439.50,56471.72,52554.19,42135.84,
Net Profit / Loss for The Year,1627.22,4676.61,275.68,3679.28,8223.66,
Net Profit / Loss After EI & Prior Year Items,1627.22,4676.61,275.68,3679.28,8223.66,
Profit / Loss Brought Forward,24323.00,23043.05,24448.33,23766.46,17623.49,
Total Profit / Loss available for Appropriations,25950.21,27719.66,24724.01,27445.74,25847.15,
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,406.80,1169.15,68.92,919.82,2055.92,
Transfer To / From Capital Reserve,340.52,125.09,101.66,755.57,62.04,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,0.00,0.00,1405.28,1407.43,1191.42,
Tax On Dividend,0.00,0.00,0.00,0.00,213.19,
Balance Carried Over To Balance Sheet,24585.17,25928.28,23043.05,24448.33,22364.65,
Total Appropriations,25950.21,27719.66,24724.01,27445.74,25847.15,
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),5.99,18.20,1.13,15.40,34.59,
Diluted EPS (Rs.),5.97,18.09,1.12,15.34,34.40,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),0.00,50.00,0.00,250.00,250.00,
