0,1,2,3,4,5,6
Cash Flow of Bajaj Finserv (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,681.88,325.99,167.21,104.00,194.81,
Net CashFlow From Operating Activities,638.83,286.45,141.92,41.51,96.29,
Net Cash Used In Investing Activities,-575.48,-210.82,-103.52,-263.81,179.44,
Net Cash Used From Financing Activities,-118.97,-27.77,-27.59,-0.69,-54.57,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-55.62,47.86,10.81,-222.99,221.16,
Cash And Cash Equivalents Begin of Year,59.97,12.11,1.30,224.29,3.13,
Cash And Cash Equivalents End Of Year,4.35,59.97,12.11,1.30,224.29,
