0,1,2,3,4
Cash Flow of Bajaj Finserv (in Rs. Cr.),Mar 10,Mar 09,Mar 08,
,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,59.34,63.33,0.00,
Net CashFlow From Operating Activities,48.86,19.17,0.00,
Net Cash Used In Investing Activities,-31.15,-1.07,0.00,
Net Cash Used From Financing Activities,-16.90,-16.89,0.00,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,0.81,1.21,0.00,
Cash And Cash Equivalents Begin of Year,1.24,0.03,0.00,
Cash And Cash Equivalents End Of Year,2.05,1.24,0.00,
