0,1,2,3,4
Profit & Loss account of Bajaj Finserv (in Rs. Cr.),Mar 10,Mar 09,Mar 08,
,12 mths,12 mths,12 mths,
INCOME,,,,
Revenue From Operations [Gross],127.10,112.03,103.97,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,
Revenue From Operations [Net],127.10,112.03,103.97,
Total Operating Revenues,127.10,112.03,103.97,
Other Income,2.69,1.65,1.56,
Total Revenue,129.79,113.68,105.53,
EXPENSES,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,
Purchase Of Stock-In Trade,0.00,0.00,0.00,
Operating And Direct Expenses,21.12,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,
Employee Benefit Expenses,5.41,4.89,2.06,
Finance Costs,0.00,0.01,0.00,
Depreciation And Amortisation Expenses,21.96,29.77,29.70,
Other Expenses,21.97,15.71,8.89,
Total Expenses,70.46,50.38,41.34,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",59.33,63.30,64.19,
Exceptional Items,0.00,0.00,0.00,
Profit/Loss Before Tax,59.33,63.30,64.19,
Tax Expenses-Continued Operations,,,,
Current Tax,20.19,27.50,29.75,
Less: MAT Credit Entitlement,0.00,0.00,0.00,
Deferred Tax,9.65,-5.69,-8.83,
Tax For Earlier Years,0.00,0.00,0.00,
Total Tax Expenses,29.95,21.97,21.04,
Profit/Loss After Tax And Before ExtraOrdinary Items,29.38,41.33,43.15,
Profit/Loss From Continuing Operations,29.39,41.36,43.95,
Profit/Loss For The Period,29.39,41.36,43.95,
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),2.03,2.86,3.04,
Diluted EPS (Rs.),2.03,2.86,3.04,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,
Imported Raw Materials,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,
Imported Stores And Spares,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,14.47,14.47,14.47,
Tax On Dividend,2.40,2.46,2.46,
Equity Dividend Rate (%),20.00,20.00,20.00,
