0,1,2,3,4,5,6
Quarterly Results of Bajaj Finserv (in Rs. Cr.),Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,
Net Sales/Income from operations,49.40,1011.05,595.21,31.06,32.84,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,49.40,1011.05,595.21,31.06,32.84,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,32.10,30.94,34.54,22.52,30.38,
depreciat,0.89,0.88,0.83,0.83,0.80,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,16.94,20.66,19.24,14.36,12.53,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-0.53,958.57,540.60,-6.65,-10.87,
Other Income,7.90,8.02,8.06,20.45,17.00,
"P/L Before Int., Excpt. Items & Tax",7.37,966.59,548.66,13.80,6.13,
Interest,--,--,--,--,--,
P/L Before Exceptional Items & Tax,7.37,966.59,548.66,13.80,6.13,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,7.37,966.59,548.66,13.80,6.13,
Tax,2.98,212.25,145.15,4.34,1.20,
P/L After Tax from Ordinary Activities,4.39,754.34,403.51,9.46,4.93,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,4.39,754.34,403.51,9.46,4.93,
Equity Share Capital,159.26,159.26,159.26,159.26,159.14,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,0.03,4.70,2.50,0.10,0.03,
Diluted EPS,--,4.70,2.50,0.10,--,
EPS After Extra Ordinary,,,,,,
Basic EPS.,0.03,4.70,2.50,0.10,0.03,
Diluted EPS.,--,4.70,2.50,0.10,--,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
