0,1,2,3,4,5,6
Cash Flow of HCL Technologies (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,16474.00,15456.00,14716.00,13268.00,12410.00,
Net CashFlow From Operating Activities,15991.00,15282.00,13538.00,10591.00,15765.00,
Net Cash Used In Investing Activities,993.00,-2331.00,-798.00,2232.00,-4548.00,
Net Cash Used From Financing Activities,-17253.00,-14480.00,-13267.00,-12775.00,-9649.00,
Foreign Exchange Gains / Losses,24.00,-8.00,-6.00,-17.00,14.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-245.00,-1537.00,-533.00,31.00,1582.00,
Cash And Cash Equivalents Begin of Year,837.00,2374.00,2907.00,2876.00,1294.00,
Cash And Cash Equivalents End Of Year,592.00,837.00,2374.00,2907.00,2876.00,
