0,1,2,3,4,5,6
Profit & Loss account of HCL Technologies (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],51105.00,48118.00,46276.00,40638.00,35673.00,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],51105.00,48118.00,46276.00,40638.00,35673.00,
Total Operating Revenues,51105.00,48118.00,46276.00,40638.00,35673.00,
Other Income,1234.00,1076.00,1031.00,880.00,965.00,
Total Revenue,52339.00,49194.00,47307.00,41518.00,36638.00,
EXPENSES,,,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
Purchase Of Stock-In Trade,133.00,135.00,168.00,155.00,142.00,
Operating And Direct Expenses,0.00,7105.00,7291.00,7277.00,7515.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",13.00,10.00,-12.00,-5.00,-3.00,
Employee Benefit Expenses,22414.00,20965.00,19799.00,15872.00,11749.00,
Finance Costs,156.00,125.00,127.00,109.00,177.00,
Depreciation And Amortisation Expenses,2320.00,2371.00,2431.00,2615.00,2813.00,
Other Expenses,10829.00,3027.00,2787.00,2227.00,1835.00,
Total Expenses,35865.00,33738.00,32591.00,28250.00,24228.00,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",16474.00,15456.00,14716.00,13268.00,12410.00,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,16474.00,15456.00,14716.00,13268.00,12410.00,
Tax Expenses-Continued Operations,,,,,,
Current Tax,4208.00,2873.00,3045.00,2464.00,2480.00,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,0.00,909.00,212.00,-70.00,1187.00,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,4208.00,3782.00,3257.00,2394.00,3667.00,
Profit/Loss After Tax And Before ExtraOrdinary Items,12266.00,11674.00,11459.00,10874.00,8743.00,
Profit/Loss From Continuing Operations,12266.00,11674.00,11459.00,10874.00,8743.00,
Profit/Loss For The Period,12266.00,11674.00,11459.00,10874.00,8743.00,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),45.25,43.11,42.32,40.10,32.22,
Diluted EPS (Rs.),45.21,43.02,42.27,40.09,32.22,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,0.00,14080.00,12995.00,11391.00,3257.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),3000.00,2600.00,2400.00,2100.00,500.00,
