0,1,2,3,4,5,6
Quarterly Results of HCL Technologies (in Rs. Cr.),Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,
Net Sales/Income from operations,5460.00,5179.00,5114.48,4889.26,4705.77,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,5460.00,5179.00,5114.48,4889.26,4705.77,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,32.00,37.00,20.47,23.81,14.51,
Increase/Decrease in Stocks,-4.00,35.00,76.76,-8.78,9.00,
Power & Fuel,--,--,--,--,--,
Employees Cost,1890.00,1761.00,1939.29,1694.91,1639.67,
depreciat,184.00,131.00,159.84,123.42,102.27,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,1243.00,1234.00,1240.29,1153.58,1080.12,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",2115.00,1981.00,1677.83,1902.32,1860.20,
Other Income,162.00,199.00,230.64,187.53,237.87,
"P/L Before Int., Excpt. Items & Tax",2277.00,2180.00,1908.47,2089.85,2098.07,
Interest,5.00,6.00,33.84,9.43,2.49,
P/L Before Exceptional Items & Tax,2272.00,2174.00,1874.63,2080.42,2095.58,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,2272.00,2174.00,1874.63,2080.42,2095.58,
Tax,482.00,412.00,153.49,418.88,404.86,
P/L After Tax from Ordinary Activities,1790.00,1762.00,1721.14,1661.54,1690.72,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1790.00,1762.00,1721.14,1661.54,1690.72,
Equity Share Capital,278.41,285.36,285.36,282.24,282.18,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,12.84,12.35,12.06,11.78,11.98,
Diluted EPS,12.83,12.28,12.05,11.76,11.97,
EPS After Extra Ordinary,,,,,,
Basic EPS.,12.84,12.35,12.06,11.78,11.98,
Diluted EPS.,12.83,12.28,12.05,11.76,11.97,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
