0,1,2,3,4,5,6
Balance Sheet of Kotak Mahindra Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,956.52,954.38,952.82,920.45,917.19,
Total Share Capital,1456.52,1454.38,952.82,920.45,917.19,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,47558.78,41444.00,36528.83,26695.62,23041.87,
Total Reserves and Surplus,47558.78,41444.00,36528.83,26695.62,23041.87,
Total ShareHolders Funds,49018.17,42900.45,37483.82,27617.94,23962.47,
Deposits,262820.52,225880.36,192643.27,157425.86,138643.02,
Borrowings,37993.31,32248.29,25154.15,21095.48,20975.34,
Other Liabilities and Provisions,10419.68,11142.98,9652.15,8450.68,8678.96,
Total Capital and Liabilities,360251.68,312172.09,264933.40,214589.96,192259.79,
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,9505.05,10877.52,8908.51,7492.43,6903.43,
Balances with Banks Money at Call and Short Notice,43787.25,13798.02,10711.60,15079.58,3976.28,
Investments,75051.55,71189.09,64562.35,45074.19,51260.22,
Advances,219748.19,205694.81,169717.92,136082.13,118665.30,
Fixed Assets,1623.13,1651.55,1527.16,1537.63,1551.59,
Other Assets,10536.52,8961.11,9505.86,9324.00,9902.97,
Total Assets,360251.68,312172.09,264933.40,214589.96,192259.79,
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,1600.00,1500.00,1388.00,1369.00,1333.00,
Number of Employees,50034.00,41753.00,50000.00,44000.00,31410.00,
Capital Adequacy Ratios (%),17.89,17.45,18.22,16.77,16.34,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),17.27,16.93,17.56,15.90,15.28,
Tier 2 (%),0.62,0.52,0.66,0.87,1.06,
ASSETS QUALITY,,,,,,
Gross NPA,5026.89,4467.94,3825.38,3578.61,2838.11,
Gross NPA (%),2.00,2.00,2.00,3.00,2.00,
Net NPA,1557.89,1544.37,1665.05,1718.07,1261.96,
Net NPA (%),0.71,0.75,0.98,1.26,1.06,
Net NPA To Advances (%),1.00,1.00,1.00,1.00,1.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,39518.98,31852.23,24255.31,20318.26,25578.12,
Contingent Liabilities,187277.36,212082.27,205104.84,193067.54,257574.33,
