0,1,2,3,4,5,6
Cash Flow of Kotak Mahindra Bank (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,21584.11,18013.72,14390.99,8572.69,6964.84,
Net CashFlow From Operating Activities,12805.53,13900.79,-8369.18,2161.33,-5298.30,
Net Cash Used In Investing Activities,-19556.20,2021.50,490.86,-1334.92,-1769.10,
Net Cash Used From Financing Activities,19723.44,4314.44,-2541.91,2456.07,-6585.90,
Foreign Exchange Gains / Losses,17.98,9.36,38.59,14.92,-12.47,
Net Inc/Dec In Cash And Cash Equivalents,12990.75,20246.09,-10381.63,3297.40,-13665.77,
Cash And Cash Equivalents Begin of Year,52788.40,32542.31,42923.94,39626.53,53292.30,
Cash And Cash Equivalents End Of Year,65779.15,52788.40,32542.31,42923.94,39626.53,
