0,1,2,3,4,5,6
Profit & Loss account of Kotak Mahindra Bank (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,40746.17,35657.99,26978.45,19378.69,18589.08,
Income from Investments,10828.90,8898.08,6458.65,6689.26,6833.41,
Interest on Balance with RBI and Other Inter-Bank funds,894.53,779.38,550.30,723.42,1174.74,
Others,450.13,463.45,263.46,247.45,243.05,
Total Interest Earned,52919.73,45798.91,34250.85,27038.82,26840.27,
Other Income,11418.49,10273.10,7083.05,6354.35,5459.19,
Total Income,64338.22,56072.01,41333.90,33393.17,32299.46,
EXPENDITURE,,,,,,
Interest Expended,24577.95,19805.71,12698.94,10220.91,11500.62,
Payments to and Provisions for Employees,7880.63,6892.63,5547.78,4613.35,3765.40,
Depreciation,0.00,614.79,461.73,380.99,366.77,
Operating Expenses (excludes Employee Cost & Depreciation),10873.07,9171.42,7777.48,6127.04,4451.97,
Total Operating Expenses,18753.70,16678.85,13786.99,11121.39,8584.14,
Provision Towards Income Tax,5134.03,4183.40,3412.17,2893.79,2536.93,
Provision Towards Deferred Tax,0.00,48.73,39.52,-105.17,-198.78,
Other Provisions and Contingencies,2942.36,1573.74,456.99,689.56,2911.71,
Total Provisions and Contingencies,8076.39,5805.87,3908.68,3478.18,5249.86,
Total Expenditure,51408.04,42290.43,30394.61,24820.48,25334.62,
Net Profit / Loss for The Year,12930.18,13781.58,10939.30,8572.69,6964.84,
Net Profit / Loss After EI & Prior Year Items,16450.08,13781.58,10939.30,8572.69,6964.84,
Profit / Loss Brought Forward,0.00,37760.09,30455.85,24749.78,20511.81,
Total Profit / Loss available for Appropriations,0.00,51541.68,41395.15,33322.47,27476.65,
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,0.00,3445.40,2734.83,2143.18,1741.21,
Transfer To / From Capital Reserve,0.00,500.00,0.99,9.47,14.50,
Transfer To / From Revenue And Other Reserves,0.00,0.00,525.32,400.00,820.66,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,0.00,336.62,258.92,0.00,0.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Balance Carried Over To Balance Sheet,0.00,45103.02,37760.09,30455.85,24749.78,
Total Appropriations,0.00,51541.68,41395.15,33322.47,27476.65,
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),82.74,69.15,54.89,43.02,35.17,
Diluted EPS (Rs.),82.74,69.15,54.89,43.01,35.14,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),0.00,40.00,30.00,22.00,18.00,
