0,1,2,3,4,5,6
Quarterly Results of Kotak Mahindra Bank (in Rs. Cr.),Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,1701.66,1644.29,1621.71,1670.41,1597.49,
(b) Income on Investment,483.89,509.56,558.39,530.99,491.64,
(c) Int. on balances With RBI,6.33,7.17,6.84,6.66,5.22,
others,0.42,11.31,3.07,0.32,0.23,
Other Income,299.71,297.13,462.39,363.85,304.86,
EXPENDITURE,,,,,,
Interest Expended,1279.56,1248.22,1273.35,1304.98,1271.73,
Employees Cost,277.34,264.65,301.44,288.26,263.59,
Other Expenses,350.38,350.05,298.83,325.59,291.50,
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,584.73,606.54,778.78,653.40,572.62,
Provisions And Contingencies,69.74,72.29,168.86,37.43,42.36,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,514.99,534.25,609.92,615.97,530.26,
Tax,175.01,181.71,207.10,179.76,168.58,
P/L After Tax from Ordinary Activities,339.98,352.54,402.82,436.21,361.68,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,339.98,352.54,402.82,436.21,361.68,
Equity Share Capital,384.56,384.12,383.63,373.31,372.10,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,--,--,--,--,--,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,17.50,18.23,18.16,16.05,15.63,
EPS Before Extra Ordinary,,,,,,
Basic EPS,4.42,4.59,5.32,5.85,4.86,
Diluted EPS,4.41,4.58,5.30,5.83,4.84,
EPS After Extra Ordinary,,,,,,
Basic EPS.,4.42,4.59,5.32,5.85,4.86,
Diluted EPS.,4.41,4.58,5.30,5.83,4.84,
NPA Ratios :,,,,,,
i) Gross NPA,1076.18,1005.97,995.39,758.11,740.02,
ii) Net NPA,584.52,486.92,495.77,311.41,322.71,
i) % of Gross NPA,2.01,1.97,1.95,1.55,1.46,
ii) % of Net NPA,1.10,0.96,0.98,0.64,0.64,
Return on Assets %,0.41,0.43,0.48,0.53,0.46,
Public Share Holding,,,,,,
No Of Shares (Crores),43.34,43.26,43.16,41.09,40.85,
Share Holding (%),56.35,56.31,56.25,55.04,54.89,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,33.57,33.57,33.57,33.57,33.57,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,100.00,100.00,100.00,100.00,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,43.65,43.69,43.75,44.96,45.11,
yrc,201312,201309,201306,201303,201212,
