0,1,2,3,4,5,6
Cash Flow of Larsen & Toubro (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,7224.30,389.51,6831.85,5863.87,6128.83,
Net CashFlow From Operating Activities,-121.30,2556.42,2951.81,5979.69,3255.72,
Net Cash Used In Investing Activities,-6833.74,1585.19,1787.06,-46.44,-522.06,
Net Cash Used From Financing Activities,7418.62,-4605.59,-3489.36,-6073.16,-2567.21,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,463.58,-463.98,1249.51,-139.91,166.45,
Cash And Cash Equivalents Begin of Year,2723.70,3187.75,1938.24,2078.06,1591.46,
Cash And Cash Equivalents End Of Year,3187.28,2723.77,3187.75,1938.15,1757.91,
