0,1,2,3,4,5,6
Cash Flow of Larsen & Toubro (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,5880.67,3940.41,3155.47,2004.89,1383.40,
Net CashFlow From Operating Activities,5482.75,1478.57,1945.24,2130.45,1369.25,
Net Cash Used In Investing Activities,-6071.73,-3308.53,-5241.89,-1588.17,-1326.30,
Net Cash Used From Financing Activities,1245.56,1640.79,3166.68,-31.05,-287.77,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,656.58,-189.17,-129.97,511.23,-244.82,
Cash And Cash Equivalents Begin of Year,775.29,964.46,1094.43,583.20,828.02,
Cash And Cash Equivalents End Of Year,1431.87,775.29,964.46,1094.43,583.20,
