0,1,2,3,4,5,6
Profit & Loss account of Larsen & Toubro (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],81617.98,81095.90,73495.49,65396.00,59517.13,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,149.10,577.49,635.39,
Revenue From Operations [Net],81617.98,81095.90,73346.39,64818.51,58881.74,
Total Operating Revenues,82383.65,82287.42,74462.55,65723.86,59779.61,
Other Income,2807.87,2711.19,1884.82,1914.96,2405.97,
Total Revenue,85191.52,84998.61,76347.37,67638.82,62185.58,
EXPENSES,,,,,,
Cost Of Materials Consumed,5486.99,5712.54,8092.54,7370.57,7396.35,
Purchase Of Stock-In Trade,855.63,906.49,1296.62,1390.84,1129.18,
Operating And Direct Expenses,60603.60,61361.00,50062.36,42532.98,37988.58,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-64.01,-1126.17,-962.36,131.59,114.98,
Employee Benefit Expenses,5955.98,5732.60,5713.59,5147.38,4480.20,
Finance Costs,2266.56,1787.62,1432.23,1316.91,1449.04,
Depreciation And Amortisation Expenses,1020.51,999.55,1049.46,1215.19,998.88,
Other Expenses,2707.34,2047.87,2836.27,2671.00,2505.07,
Total Expenses,78832.60,77421.50,69515.52,61774.95,56056.75,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",6358.92,7577.11,6831.85,5863.87,6128.83,
Exceptional Items,626.99,1642.35,430.53,893.97,560.28,
Profit/Loss Before Tax,6985.91,9219.46,7262.38,6757.84,6689.11,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1525.60,2409.73,1974.07,1675.20,1551.19,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,-564.45,-138.60,-98.99,-371.10,-173.54,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,961.15,2271.13,1875.08,1304.10,1377.65,
Profit/Loss After Tax And Before ExtraOrdinary Items,6024.76,6948.33,5387.30,5453.74,5311.46,
Profit/Loss From Continuing Operations,6024.76,6948.33,5387.30,5453.74,5311.46,
Profit/Loss For The Period,6679.21,7491.39,5387.30,5453.74,5311.46,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),47.59,53.43,38.46,39.00,57.07,
Diluted EPS (Rs.),47.53,53.34,38.37,38.86,56.80,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,1422.32,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,5974.03,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,189.12,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,987.01,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,1403.89,0.00,0.00,0.00,1699.95,
Tax On Dividend,0.00,0.00,0.00,0.00,140.88,
Equity Dividend Rate (%),900.00,900.00,800.00,700.00,913.00,
