0,1,2,3,4,5,6
Quarterly Results of Larsen & Toubro (in Rs. Cr.),Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,
Net Sales/Income from operations,25769.75,20211.69,37439.22,21551.54,17061.00,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,25769.75,20211.69,37439.22,21551.54,17061.00,
EXPENDITURE,,,,,,
Consumption of Raw Materials,2769.88,2988.15,3628.46,11166.50,1464.97,
Purchase of Traded Goods,304.12,195.80,259.64,319.98,251.54,
Increase/Decrease in Stocks,-918.07,-1443.16,197.47,-1242.44,-521.83,
Power & Fuel,--,--,--,--,--,
Employees Cost,2109.73,1926.50,1899.27,1617.18,1567.43,
depreciat,337.57,342.07,307.89,258.73,261.25,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,539.31,640.71,827.04,667.58,599.70,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,19057.27,14357.63,26757.77,7302.26,12296.45,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1569.94,1203.99,3561.68,1461.75,1141.49,
Other Income,1554.22,567.85,702.80,1012.44,1353.77,
"P/L Before Int., Excpt. Items & Tax",3124.16,1771.84,4264.48,2474.19,2495.26,
Interest,578.61,504.50,440.76,412.00,424.21,
P/L Before Exceptional Items & Tax,2545.55,1267.34,3823.72,2062.19,2071.05,
Exceptional Items,--,--,--,--,267.29,
P/L Before Tax,2545.55,1267.34,3823.72,2062.19,2338.34,
Tax,436.09,356.12,922.57,391.35,312.90,
P/L After Tax from Ordinary Activities,2109.46,911.22,2901.15,1670.84,2025.44,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,2109.46,911.22,2901.15,1670.84,2025.44,
Equity Share Capital,281.04,281.03,281.01,280.97,280.93,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,15.01,6.49,20.65,11.89,14.42,
Diluted EPS,15.00,6.48,20.63,11.88,14.40,
EPS After Extra Ordinary,,,,,,
Basic EPS.,15.01,6.49,20.65,11.89,14.42,
Diluted EPS.,15.00,6.48,20.63,11.88,14.40,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
