0,1,2,3,4,5,6
Cash Flow of Maruti Suzuki India (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,3592.50,1675.80,2503.00,2279.80,1750.00,
Net CashFlow From Operating Activities,2887.40,1193.30,1830.40,2028.00,1222.60,
Net Cash Used In Investing Activities,-4783.30,951.40,-3061.50,-2436.80,-530.70,
Net Cash Used From Financing Activities,55.10,-536.20,132.30,430.00,-319.70,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-1840.80,1608.50,-1098.80,21.20,372.20,
Cash And Cash Equivalents Begin of Year,1939.00,330.50,1422.80,1401.60,1029.40,
Cash And Cash Equivalents End Of Year,98.20,1939.00,324.00,1422.80,1401.60,
