0,1,2,3
Cash Flow of Maruti Suzuki India (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,1304.90,769.80,
Net CashFlow From Operating Activities,1073.70,1035.90,
Net Cash Used In Investing Activities,-192.70,-1551.10,
Net Cash Used From Financing Activities,-91.80,-234.00,
Foreign Exchange Gains / Losses,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,789.20,-749.20,
Cash And Cash Equivalents Begin of Year,240.20,989.40,
Cash And Cash Equivalents End Of Year,1029.40,240.20,
