0,1,2,3,4,5,6
Profit & Loss account of Maruti Suzuki India (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],145115.20,134937.80,112500.80,83798.10,66562.10,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],145115.20,134937.80,112500.80,83798.10,66562.10,
Total Operating Revenues,151900.10,140932.60,117522.90,88295.60,70332.50,
Other Income,4750.40,3854.80,2161.30,1793.50,2946.40,
Total Revenue,156650.50,144787.40,119684.20,90089.10,73278.90,
EXPENSES,,,,,,
Cost Of Materials Consumed,52927.10,45939.70,46670.00,39738.70,33296.90,
Purchase Of Stock-In Trade,56434.00,55109.90,39977.20,26390.50,17247.20,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-890.30,-442.90,-403.70,-91.90,273.10,
Employee Benefit Expenses,6137.00,5478.40,4605.10,4022.20,3402.90,
Finance Costs,193.10,193.20,186.60,125.90,100.80,
Depreciation And Amortisation Expenses,3159.30,3022.30,2823.30,2786.50,3031.50,
Other Expenses,19507.10,18635.20,15803.90,12679.40,10839.90,
Total Expenses,137467.30,127747.00,109525.10,85506.80,68119.50,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",19183.20,17040.40,10159.10,4582.30,5159.40,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,19183.20,17040.40,10159.10,4582.30,5159.40,
Tax Expenses-Continued Operations,,,,,,
Current Tax,5228.00,3631.10,2247.50,1430.10,1155.60,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,0.00,199.90,-137.60,-614.10,-225.90,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,5228.00,3831.00,2109.90,816.00,929.70,
Profit/Loss After Tax And Before ExtraOrdinary Items,13955.20,13209.40,8049.20,3766.30,4229.70,
Profit/Loss From Continuing Operations,13955.20,13209.40,8049.20,3766.30,4229.70,
Profit/Loss For The Period,13955.20,13209.40,8049.20,3766.30,4229.70,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),443.86,431.08,266.46,124.68,140.02,
Diluted EPS (Rs.),443.86,431.08,266.46,124.68,140.02,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,1801.70,2033.20,2971.30,2096.00,
Indigenous Raw Materials,0.00,44138.00,44636.80,36767.40,31200.90,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,74.60,66.70,56.90,69.20,
Indigenous Stores And Spares,0.00,600.30,466.00,376.00,354.20,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,0.00,2718.70,1812.50,1359.40,1812.50,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),2700.00,2500.00,1800.00,1200.00,900.00,
