0,1,2,3
Profit & Loss account of Maruti Suzuki India (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
INCOME,,,
Revenue From Operations [Gross],13458.20,11392.50,
Less: Excise/Sevice Tax/Other Levies,2411.90,1943.00,
Revenue From Operations [Net],11046.30,9449.50,
Total Operating Revenues,11046.30,9449.50,
Other Income,211.60,192.30,
Total Revenue,11257.90,9641.80,
EXPENSES,,,
Cost Of Materials Consumed,8264.60,6782.30,
Purchase Of Stock-In Trade,443.70,351.20,
Operating And Direct Expenses,215.70,123.60,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-141.70,-4.20,
Employee Benefit Expenses,196.00,297.50,
Finance Costs,36.00,43.40,
Depreciation And Amortisation Expenses,456.80,494.90,
Other Expenses,521.80,793.50,
Total Expenses,10009.20,8954.60,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1248.70,687.20,
Exceptional Items,0.00,0.00,
Profit/Loss Before Tax,1248.70,687.20,
Tax Expenses-Continued Operations,,,
Current Tax,519.80,251.50,
Less: MAT Credit Entitlement,0.00,0.00,
Deferred Tax,-73.30,-23.80,
Tax For Earlier Years,0.00,0.00,
Total Tax Expenses,446.50,227.70,
Profit/Loss After Tax And Before ExtraOrdinary Items,802.20,459.50,
Profit/Loss From Continuing Operations,853.60,542.10,
Profit/Loss For The Period,853.60,542.10,
OTHER ADDITIONAL INFORMATION,,,
EARNINGS PER SHARE,,,
Basic EPS (Rs.),29.54,18.76,
Diluted EPS (Rs.),29.54,18.76,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
Imported Raw Materials,1603.50,1353.80,
Indigenous Raw Materials,6538.40,5281.10,
"STORES, SPARES AND LOOSE TOOLS",,,
Imported Stores And Spares,4.70,6.80,
Indigenous Stores And Spares,10.30,9.70,
DIVIDEND AND DIVIDEND PERCENTAGE,,,
Equity Share Dividend,57.80,43.30,
Tax On Dividend,8.20,5.60,
Equity Dividend Rate (%),40.00,30.00,
