0,1,2,3,4,5,6
Cash Flow of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,5030.57,3449.65,1741.05,306.86,2152.87,
Net CashFlow From Operating Activities,4198.77,-292.42,507.08,7636.36,1737.25,
Net Cash Used In Investing Activities,-209.56,-262.91,-705.17,-2702.10,-601.80,
Net Cash Used From Financing Activities,-3831.18,473.95,169.31,-4870.85,-1126.29,
Foreign Exchange Gains / Losses,7.53,-2.44,19.53,5.06,-7.32,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,165.56,-83.82,-9.25,68.47,1.84,
Cash And Cash Equivalents Begin of Year,326.46,410.28,419.53,351.06,220.50,
Cash And Cash Equivalents End Of Year,492.02,326.46,410.28,419.53,222.34,
