0,1,2,3,4,5,6
Profit & Loss account of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],22625.88,19843.53,20394.63,15518.50,12570.93,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],22625.88,19843.53,20394.63,15518.50,12570.93,
Total Operating Revenues,23003.33,20275.17,20812.14,15585.98,12803.21,
Other Income,369.43,465.76,279.03,957.92,150.22,
Total Revenue,23372.76,20740.93,21091.17,16543.90,12953.43,
EXPENSES,,,,,,
Cost Of Materials Consumed,4690.67,4429.38,5165.63,4584.97,3809.11,
Purchase Of Stock-In Trade,1359.53,994.41,1126.46,1248.60,1199.63,
Operating And Direct Expenses,0.00,344.45,313.75,275.23,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-69.17,180.32,-237.93,-183.18,-214.84,
Employee Benefit Expenses,2608.26,2373.95,2156.95,2000.78,1798.45,
Finance Costs,893.21,784.08,472.18,388.10,256.98,
Depreciation And Amortisation Expenses,1238.27,1600.62,1600.87,1349.95,586.81,
Other Expenses,7621.42,6365.05,5814.42,4752.06,3274.86,
Total Expenses,18342.19,17072.26,16412.33,14416.51,10711.00,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",5030.57,3668.67,4678.84,2127.39,2242.43,
Exceptional Items,0.00,-219.02,-2937.79,-1820.53,-89.56,
Profit/Loss Before Tax,5030.57,3449.65,1741.05,306.86,2152.87,
Tax Expenses-Continued Operations,,,,,,
Current Tax,747.95,546.10,752.77,-553.58,244.91,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,0.00,45.37,-702.44,960.43,-231.74,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,747.95,591.47,50.33,406.85,13.17,
Profit/Loss After Tax And Before ExtraOrdinary Items,4282.62,2858.18,1690.72,-99.99,2139.70,
Profit/Loss From Continuing Operations,4282.62,2858.18,1690.72,-99.99,2139.70,
Profit/Loss For The Period,4282.62,2858.18,1690.72,-99.99,2139.70,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),17.80,11.90,7.00,-0.40,8.92,
Diluted EPS (Rs.),17.80,11.90,7.00,-0.40,8.92,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,0.00,2898.16,2519.30,2158.91,1559.06,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),1600.00,1350.00,1150.00,1000.00,750.00,
