0,1,2,3,4,5,6
Quarterly Results of Sun Pharmaceutical Industries (in Rs. Cr.),Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,
Net Sales/Income from operations,1738.58,1676.31,1866.20,1831.26,1880.32,
Other Operating Income,39.71,248.97,44.35,46.65,168.42,
Total Income From Operations,1778.29,1925.28,1910.55,1877.91,2048.74,
EXPENDITURE,,,,,,
Consumption of Raw Materials,502.93,266.45,494.41,538.10,539.35,
Purchase of Traded Goods,304.08,367.01,236.90,307.61,258.48,
Increase/Decrease in Stocks,-68.80,50.46,39.99,-105.29,0.46,
Power & Fuel,--,--,--,--,--,
Employees Cost,367.34,328.89,325.53,359.63,462.64,
depreciat,105.00,120.00,114.70,119.87,109.68,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,740.79,1024.96,689.83,1084.06,911.68,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-173.05,-232.49,9.19,-426.07,-233.55,
Other Income,126.41,361.29,17.84,11.03,54.93,
"P/L Before Int., Excpt. Items & Tax",-46.64,128.80,27.03,-415.04,-178.62,
Interest,101.37,81.82,166.51,182.11,143.66,
P/L Before Exceptional Items & Tax,-148.01,46.98,-139.48,-597.15,-322.28,
Exceptional Items,--,--,--,--,-70.13,
P/L Before Tax,-148.01,46.98,-139.48,-597.15,-392.41,
Tax,3.45,-4.36,2.79,3.08,3.94,
P/L After Tax from Ordinary Activities,-151.46,51.34,-142.27,-600.23,-396.35,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,-151.46,51.34,-142.27,-600.23,-396.35,
Equity Share Capital,240.67,240.66,240.64,240.64,240.62,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,-0.60,0.20,-0.60,-2.50,-1.70,
Diluted EPS,-0.60,0.20,-0.60,-2.50,-1.70,
EPS After Extra Ordinary,,,,,,
Basic EPS.,-0.60,0.20,-0.60,-2.50,-1.70,
Diluted EPS.,-0.60,0.20,-0.60,-2.50,-1.70,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,108.99,
Share Holding (%),--,--,--,--,45.29,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,2.00,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,1.52,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,0.83,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,129.65,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,98.48,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,53.88,
