0,1,2,3,4,5,6
Cash Flow of Titan Company (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,1055.89,1015.93,1006.27,838.44,599.00,
Net CashFlow From Operating Activities,507.83,-551.26,453.10,157.50,1051.12,
Net Cash Used In Investing Activities,-124.34,-193.00,-42.32,-69.89,-25.48,
Net Cash Used From Financing Activities,-1004.05,496.83,-235.62,-234.44,-116.93,
Foreign Exchange Gains / Losses,1.42,-0.18,-3.62,2.54,1.07,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,4.48,8.32,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-619.14,-247.62,176.02,-135.97,909.78,
Cash And Cash Equivalents Begin of Year,787.53,1136.55,960.53,1096.50,186.72,
Cash And Cash Equivalents End Of Year,168.39,888.93,1136.55,960.53,1096.50,
