0,1,2,3
Cash Flow of Titan Company (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,32.36,14.03,
Net CashFlow From Operating Activities,164.62,115.48,
Net Cash Used In Investing Activities,-14.84,2.26,
Net Cash Used From Financing Activities,-133.86,-114.54,
Foreign Exchange Gains / Losses,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,15.93,3.20,
Cash And Cash Equivalents Begin of Year,27.62,24.12,
Cash And Cash Equivalents End Of Year,43.55,27.32,
