0,1,2,3,4,5,6
Profit & Loss account of Titan Company (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],19732.26,18885.34,15483.45,12925.68,11208.11,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,34.55,102.35,31.21,
Revenue From Operations [Net],19732.26,18885.34,15448.90,12823.33,11176.90,
Total Operating Revenues,20009.64,19069.97,15621.30,12896.52,11264.53,
Other Income,146.41,178.50,86.40,64.77,64.36,
Total Revenue,20156.05,19248.47,15707.70,12961.29,11328.89,
EXPENSES,,,,,,
Cost Of Materials Consumed,12489.05,11822.04,10240.21,8449.38,7423.95,
Purchase Of Stock-In Trade,2858.57,2828.92,2076.91,1127.87,956.23,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-835.81,-663.78,-931.39,-288.47,-191.39,
Employee Benefit Expenses,1040.12,878.79,762.26,695.54,681.18,
Finance Costs,149.48,44.45,47.68,37.13,42.28,
Depreciation And Amortisation Expenses,309.69,138.89,109.67,93.23,96.91,
Other Expenses,2039.98,2201.79,1739.99,1716.82,1449.07,
Total Expenses,18051.08,17251.10,14045.33,11831.50,10458.23,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2104.97,1997.37,1662.37,1129.79,870.66,
Exceptional Items,0.00,-70.00,-91.65,-96.37,0.00,
Profit/Loss Before Tax,2104.97,1927.37,1570.72,1033.42,870.66,
Tax Expenses-Continued Operations,,,,,,
Current Tax,551.84,602.01,446.43,300.00,185.70,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,16.63,
Deferred Tax,35.50,-49.00,-38.58,-28.44,-4.26,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,587.34,553.01,407.85,271.56,164.81,
Profit/Loss After Tax And Before ExtraOrdinary Items,1517.63,1374.36,1162.87,761.86,705.85,
Profit/Loss From Continuing Operations,1517.63,1374.36,1162.87,761.86,705.85,
Profit/Loss For The Period,1517.63,1374.36,1162.87,761.86,705.85,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),17.09,15.48,13.10,8.58,7.95,
Diluted EPS (Rs.),17.09,15.48,13.10,8.58,7.95,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,578.19,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,6845.76,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,443.89,332.92,230.81,0.00,195.31,
Tax On Dividend,91.24,68.45,46.99,0.00,39.76,
Equity Dividend Rate (%),400.00,500.00,375.00,260.00,220.00,
