0,1,2,3
Profit & Loss account of Titan Company (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
INCOME,,,
Revenue From Operations [Gross],1150.89,961.13,
Less: Excise/Sevice Tax/Other Levies,54.71,63.64,
Revenue From Operations [Net],1096.18,897.49,
Total Operating Revenues,1096.18,897.49,
Other Income,3.60,-0.72,
Total Revenue,1099.78,896.77,
EXPENSES,,,
Cost Of Materials Consumed,730.38,589.94,
Purchase Of Stock-In Trade,29.89,12.43,
Operating And Direct Expenses,3.51,2.01,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-87.91,-34.67,
Employee Benefit Expenses,107.02,94.78,
Finance Costs,37.33,45.07,
Depreciation And Amortisation Expenses,19.61,21.47,
Other Expenses,224.70,147.75,
Total Expenses,1067.41,882.74,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",32.36,14.03,
Exceptional Items,0.00,0.00,
Profit/Loss Before Tax,32.36,14.03,
Tax Expenses-Continued Operations,,,
Current Tax,10.83,8.96,
Less: MAT Credit Entitlement,0.00,0.00,
Deferred Tax,-5.82,-6.45,
Tax For Earlier Years,0.00,0.00,
Total Tax Expenses,5.01,2.51,
Profit/Loss After Tax And Before ExtraOrdinary Items,27.35,11.51,
Profit/Loss From Continuing Operations,24.95,11.18,
Profit/Loss For The Period,24.95,11.18,
OTHER ADDITIONAL INFORMATION,,,
EARNINGS PER SHARE,,,
Basic EPS (Rs.),5.90,2.64,
Diluted EPS (Rs.),5.90,2.64,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
Imported Raw Materials,144.34,139.34,
Indigenous Raw Materials,554.92,427.32,
"STORES, SPARES AND LOOSE TOOLS",,,
Imported Stores And Spares,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,
Equity Share Dividend,8.46,4.23,
Tax On Dividend,1.56,0.97,
Equity Dividend Rate (%),20.00,10.00,
