0,1,2,3,4,5,6
Cash Flow of UltraTech Cement (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,2886.25,2775.51,3825.40,3392.87,1783.30,
Net CashFlow From Operating Activities,4082.93,3241.57,3552.42,3443.40,2033.92,
Net Cash Used In Investing Activities,-1879.74,-2209.56,-4282.25,-2926.04,-1608.06,
Net Cash Used From Financing Activities,-2266.75,-897.17,682.91,-473.96,-431.36,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-63.56,134.84,-46.92,43.40,-5.50,
Cash And Cash Equivalents Begin of Year,277.50,142.66,189.58,144.79,150.29,
Cash And Cash Equivalents End Of Year,213.94,277.50,142.66,188.19,144.79,
