0,1,2,3,4,5,6
Profit & Loss account of UltraTech Cement (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],71894.97,67535.73,60462.60,49729.38,42677.00,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],71894.97,67535.73,60462.60,49729.38,42677.00,
Total Operating Revenues,71894.97,68640.63,61326.50,50663.49,43188.34,
Other Income,693.42,662.15,689.43,611.80,788.68,
Total Revenue,72588.39,69302.78,62015.93,51275.29,43977.02,
EXPENSES,,,,,,
Cost Of Materials Consumed,10588.71,9543.46,8504.13,6459.77,5174.94,
Purchase Of Stock-In Trade,1999.86,1700.89,3020.70,2458.19,1936.70,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-21.87,-56.85,-490.37,-358.37,426.44,
Employee Benefit Expenses,3299.48,2910.46,2561.60,2359.08,2181.99,
Finance Costs,1465.34,866.80,755.00,798.37,1259.08,
Depreciation And Amortisation Expenses,3739.09,3027.43,2619.24,2456.76,2434.35,
Other Expenses,43732.69,41922.61,37799.26,28808.40,22526.86,
Total Expenses,64803.30,59914.80,54769.56,42982.20,35916.95,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",7785.09,9387.98,7246.37,8293.09,8060.07,
Exceptional Items,-88.08,-72.00,0.00,0.00,-164.00,
Profit/Loss Before Tax,7697.01,9315.98,7246.37,8293.09,7896.07,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1504.38,2226.19,2046.00,1518.68,1415.05,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,0.00,184.92,283.49,13.02,1138.95,
Tax For Earlier Years,0.00,0.00,0.00,-305.15,0.00,
Total Tax Expenses,1504.38,2411.11,2329.49,1226.55,2554.00,
Profit/Loss After Tax And Before ExtraOrdinary Items,6192.63,6904.87,4916.88,7066.54,5342.07,
Profit/Loss From Continuing Operations,6192.63,6904.87,4916.88,7066.54,5342.07,
Profit/Loss For The Period,6192.63,6904.87,4916.88,7066.54,5342.07,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),210.52,239.58,170.53,245.00,185.20,
Diluted EPS (Rs.),210.35,239.40,170.44,244.90,185.13,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,0.00,1095.11,1092.70,1067.03,374.95,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),775.00,700.00,380.00,380.00,370.00,
