0,1,2,3
Profit & Loss account of UltraTech Cement (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
INCOME,,,
Revenue From Operations [Gross],3132.07,2704.86,
Less: Excise/Sevice Tax/Other Levies,451.02,440.74,
Revenue From Operations [Net],2681.05,2264.12,
Total Operating Revenues,2681.05,2264.12,
Other Income,-55.54,53.77,
Total Revenue,2625.51,2317.89,
EXPENSES,,,
Cost Of Materials Consumed,1219.23,999.58,
Purchase Of Stock-In Trade,193.93,105.08,
Operating And Direct Expenses,56.27,105.75,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-20.90,8.27,
Employee Benefit Expenses,72.96,66.67,
Finance Costs,106.88,115.01,
Depreciation And Amortisation Expenses,221.78,198.90,
Other Expenses,809.51,659.65,
Total Expenses,2659.66,2274.48,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-34.15,43.41,
Exceptional Items,0.00,0.00,
Profit/Loss Before Tax,-34.15,43.41,
Tax Expenses-Continued Operations,,,
Current Tax,31.53,19.65,
Less: MAT Credit Entitlement,0.00,0.00,
Deferred Tax,-68.00,-9.28,
Tax For Earlier Years,0.00,0.00,
Total Tax Expenses,-36.45,10.37,
Profit/Loss After Tax And Before ExtraOrdinary Items,2.30,33.04,
Profit/Loss From Continuing Operations,2.85,38.83,
Profit/Loss For The Period,2.85,38.83,
OTHER ADDITIONAL INFORMATION,,,
EARNINGS PER SHARE,,,
Basic EPS (Rs.),0.23,3.12,
Diluted EPS (Rs.),0.23,3.12,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
Imported Raw Materials,0.00,0.00,
Indigenous Raw Materials,190.59,163.78,
"STORES, SPARES AND LOOSE TOOLS",,,
Imported Stores And Spares,30.30,34.04,
Indigenous Stores And Spares,108.17,83.45,
DIVIDEND AND DIVIDEND PERCENTAGE,,,
Equity Share Dividend,9.33,6.22,
Tax On Dividend,1.33,0.80,
Equity Dividend Rate (%),8.00,5.00,
