0,1,2,3,4,5,6
Quarterly Results of UltraTech Cement (in Rs. Cr.),Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,
Net Sales/Income from operations,16173.45,15516.95,17245.16,18121.02,15008.02,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,16173.45,15516.95,17245.16,18121.02,15008.02,
EXPENDITURE,,,,,,
Consumption of Raw Materials,2262.78,2183.66,2384.37,2450.20,2171.45,
Purchase of Traded Goods,859.21,837.34,867.64,798.58,778.99,
Increase/Decrease in Stocks,-230.65,-224.55,-32.05,241.66,-347.72,
Power & Fuel,4003.40,4002.88,4479.38,4623.39,--,
Employees Cost,720.77,759.81,660.98,873.24,648.51,
depreciat,712.41,727.85,682.01,694.81,653.53,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,5517.89,5607.61,5976.24,5992.93,9611.97,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",2327.64,1622.35,2226.59,2446.21,1491.29,
Other Income,191.37,208.77,258.15,200.55,158.21,
"P/L Before Int., Excpt. Items & Tax",2519.01,1831.12,2484.74,2646.76,1649.50,
Interest,236.90,209.99,191.08,174.87,193.70,
P/L Before Exceptional Items & Tax,2282.11,1621.13,2293.66,2471.89,1455.80,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,2282.11,1621.13,2293.66,2471.89,1455.80,
Tax,585.58,415.48,588.16,821.63,461.57,
P/L After Tax from Ordinary Activities,1696.53,1205.65,1705.50,1650.26,994.23,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1696.53,1205.65,1705.50,1650.26,994.23,
Equity Share Capital,288.69,288.69,288.69,288.68,288.68,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,58.86,41.83,59.16,57.24,34.48,
Diluted EPS,58.82,41.81,59.13,57.21,34.47,
EPS After Extra Ordinary,,,,,,
Basic EPS.,58.86,41.83,59.16,57.24,34.48,
Diluted EPS.,58.82,41.81,59.13,57.21,34.47,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
