0,1,2,3,4,5,6
Cash Flow of Wipro (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,10557.00,9608.20,7205.10,5918.60,5705.50,
Net CashFlow From Operating Activities,7703.60,6588.60,6119.20,2997.90,3711.20,
Net Cash Used In Investing Activities,-1495.00,239.60,-3573.10,-339.80,-1474.00,
Net Cash Used From Financing Activities,-1836.10,-4088.60,-1005.50,-1723.80,-2733.30,
Foreign Exchange Gains / Losses,15.10,-49.30,27.10,95.20,32.30,
Adjustments On Amalgamation Merger Demerger Others,0.00,64.20,0.00,0.00,2.80,
Net Inc/Dec In Cash And Cash Equivalents,4387.60,2754.50,1567.70,1029.50,-461.00,
Cash And Cash Equivalents Begin of Year,10554.90,7800.40,6232.70,5203.30,5664.30,
Cash And Cash Equivalents End Of Year,14942.50,10554.90,7800.40,6232.80,5203.30,
