0,1,2,3,4,5,6
Profit & Loss account of Wipro (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],41210.00,38765.10,33229.60,31803.40,26401.20,
Less: Excise/Sevice Tax/Other Levies,0.20,7.90,3.10,120.50,100.70,
Revenue From Operations [Net],41209.80,38757.20,33226.50,31682.90,26300.50,
Total Operating Revenues,41209.80,38757.20,33226.50,31682.90,26300.50,
Other Income,2499.00,1611.20,1325.30,1227.40,680.70,
Total Revenue,43708.80,40368.40,34551.80,32910.30,26981.20,
EXPENSES,,,,,,
Cost Of Materials Consumed,3.40,205.30,354.20,1447.50,1085.70,
Purchase Of Stock-In Trade,2456.40,2285.80,2347.20,3208.60,2697.20,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-254.30,0.90,-18.20,44.90,-31.60,
Employee Benefit Expenses,19726.30,18337.50,15904.20,13311.50,10937.40,
Finance Costs,362.90,374.70,352.40,605.70,136.00,
Depreciation And Amortisation Expenses,778.40,736.70,701.30,746.10,600.10,
Other Expenses,10078.70,8819.30,7705.60,7627.40,5850.90,
Total Expenses,33151.80,30760.20,27346.70,26991.70,21275.70,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",10557.00,9608.20,7205.10,5918.60,5705.50,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,10557.00,9608.20,7205.10,5918.60,5705.50,
Tax Expenses-Continued Operations,,,,,,
Current Tax,2376.60,2056.30,1530.00,1281.00,778.80,
Less: MAT Credit Entitlement,0.00,0.00,71.90,106.00,0.00,
Deferred Tax,-12.70,52.40,10.00,-16.00,24.00,
Tax For Earlier Years,0.00,112.10,86.80,74.50,59.00,
Total Tax Expenses,2363.90,2220.80,1554.90,1233.50,861.80,
Profit/Loss After Tax And Before ExtraOrdinary Items,8193.10,7387.40,5650.20,4685.10,4843.70,
Profit/Loss From Continuing Operations,8193.10,7387.40,5650.20,4685.10,4843.70,
Profit/Loss For The Period,8193.10,7387.40,5650.20,4685.10,4843.70,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),33.00,30.09,23.03,19.13,19.88,
Diluted EPS (Rs.),33.00,30.01,22.99,19.09,19.78,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,2.60,141.60,242.60,488.00,383.70,
Indigenous Raw Materials,0.80,63.70,111.60,959.50,702.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,5.20,1.70,
Indigenous Stores And Spares,0.00,0.00,0.00,23.60,21.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,2963.60,1973.60,1724.70,1475.20,1472.60,
Tax On Dividend,592.40,335.30,289.20,239.30,220.40,
Equity Dividend Rate (%),600.00,400.00,350.00,300.00,300.00,
