0,1,2,3,4,5,6
Quarterly Results of Wipro (in Rs. Cr.),Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,
Net Sales/Income from operations,17112.70,16803.00,16895.80,16481.30,16593.20,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,17112.70,16803.00,16895.80,16481.30,16593.20,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,58.80,28.90,67.50,55.40,47.70,
Increase/Decrease in Stocks,-2.70,25.70,-10.10,-3.90,18.10,
Power & Fuel,--,--,--,--,--,
Employees Cost,9298.70,9333.40,9503.60,9199.80,9593.70,
depreciat,374.80,346.00,359.50,366.30,374.30,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,4497.10,4132.40,4072.50,4037.40,4040.80,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",2886.00,2936.60,2902.80,2826.30,2518.60,
Other Income,1378.70,769.50,1046.10,665.50,1032.30,
"P/L Before Int., Excpt. Items & Tax",4264.70,3706.10,3948.90,3491.80,3550.90,
Interest,248.50,281.10,240.80,210.90,206.10,
P/L Before Exceptional Items & Tax,4016.20,3425.00,3708.10,3280.90,3344.80,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,4016.20,3425.00,3708.10,3280.90,3344.80,
Tax,1124.00,612.90,994.60,906.30,898.20,
P/L After Tax from Ordinary Activities,2892.20,2812.10,2713.50,2374.60,2446.60,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,2892.20,2812.10,2713.50,2374.60,2446.60,
Equity Share Capital,2094.40,2093.80,1046.30,1046.00,1045.00,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,2.76,2.69,5.19,4.54,4.68,
Diluted EPS,2.75,2.68,5.18,4.53,4.67,
EPS After Extra Ordinary,,,,,,
Basic EPS.,2.76,2.69,5.19,4.54,4.68,
Diluted EPS.,2.75,2.68,5.18,4.53,4.67,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
