0,1,2,3,4,5,6
Cash Flow of HCL Technologies (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,9 mths,
Net Profit/Loss Before Extraordinary Items And Tax,11177.00,9931.00,9125.00,8276.00,5781.55,
Net CashFlow From Operating Activities,9855.00,8676.00,6339.00,6995.00,3154.30,
Net Cash Used In Investing Activities,-11091.00,995.00,-973.00,-2643.00,-770.52,
Net Cash Used From Financing Activities,-1988.00,-5335.00,-5547.00,-4112.00,-2698.98,
Foreign Exchange Gains / Losses,-8.00,-23.00,39.00,-13.00,7.64,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-3232.00,4313.00,-142.00,227.00,-307.56,
Cash And Cash Equivalents Begin of Year,4523.00,210.00,352.00,125.00,432.73,
Cash And Cash Equivalents End Of Year,1291.00,4523.00,210.00,352.00,125.17,
