0,1,2,3
Cash Flow of HCL Technologies (in Rs. Cr.),Jun 05,Jun 04,
,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,338.93,339.53,
Net CashFlow From Operating Activities,265.74,598.16,
Net Cash Used In Investing Activities,239.51,-391.35,
Net Cash Used From Financing Activities,-493.71,-171.35,
Foreign Exchange Gains / Losses,0.00,0.20,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,11.54,35.26,
Cash And Cash Equivalents Begin of Year,72.99,37.12,
Cash And Cash Equivalents End Of Year,84.53,72.78,
