0,1,2,3,4,5,6
Profit & Loss account of HCL Technologies (in Rs. Cr.),Jun 10,Jun 09,Jun 08,Jun 07,Jun 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],5078.76,4675.09,4615.39,3768.62,3032.92,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],5078.76,4675.09,4615.39,3768.62,3032.92,
Total Operating Revenues,5078.76,4675.09,4615.39,3768.62,3032.92,
Other Income,114.56,91.49,-108.91,439.42,0.68,
Total Revenue,5193.32,4766.58,4506.48,4208.04,3033.60,
EXPENSES,,,,,,
Cost Of Materials Consumed,86.93,100.28,0.00,0.00,0.00,
Purchase Of Stock-In Trade,2.95,0.00,0.00,0.00,0.00,
Operating And Direct Expenses,434.77,492.39,746.92,577.24,476.97,
"Changes In Inventories Of FG,WIP And Stock-In Trade",82.52,0.00,0.00,0.00,0.00,
Employee Benefit Expenses,2137.82,1874.10,1621.35,1322.59,1123.51,
Finance Costs,97.77,25.35,17.27,11.30,10.90,
Depreciation And Amortisation Expenses,274.03,251.89,217.87,178.21,138.80,
Other Expenses,923.71,828.65,1027.82,941.01,629.59,
Total Expenses,4040.50,3572.66,3631.23,3030.35,2379.77,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1152.82,1193.92,875.25,1177.69,653.83,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,1152.82,1193.92,875.25,1177.69,653.83,
Tax Expenses-Continued Operations,,,,,,
Current Tax,104.98,208.40,107.68,76.03,10.67,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,-4.97,-31.88,-31.98,-12.01,-6.05,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,100.01,196.61,94.60,75.87,15.45,
Profit/Loss After Tax And Before ExtraOrdinary Items,1052.81,997.31,780.65,1101.82,638.38,
Profit/Loss From Continuing Operations,1056.24,997.31,780.65,1101.82,638.38,
Profit/Loss For The Period,1056.24,997.31,780.65,1101.82,638.38,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),15.56,14.88,11.72,16.60,19.74,
Diluted EPS (Rs.),15.56,14.88,11.72,16.60,19.74,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,270.20,469.61,598.58,525.59,516.10,
Tax On Dividend,45.40,79.73,101.72,81.60,72.38,
Equity Dividend Rate (%),200.00,350.00,450.00,400.00,800.00,
