0,1,2,3
Profit & Loss account of HCL Technologies (in Rs. Cr.),Jun 05,Jun 04,
,12 mths,12 mths,
INCOME,,,
Revenue From Operations [Gross],1447.01,1127.98,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,
Revenue From Operations [Net],1447.01,1127.98,
Total Operating Revenues,1447.01,1127.98,
Other Income,61.54,126.21,
Total Revenue,1508.55,1254.19,
EXPENSES,,,
Cost Of Materials Consumed,0.00,0.00,
Purchase Of Stock-In Trade,0.00,0.00,
Operating And Direct Expenses,304.93,249.77,
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,
Employee Benefit Expenses,488.54,362.39,
Finance Costs,5.12,4.84,
Depreciation And Amortisation Expenses,67.56,56.89,
Other Expenses,303.47,238.27,
Total Expenses,1169.62,914.66,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",338.93,339.53,
Exceptional Items,0.00,0.00,
Profit/Loss Before Tax,338.93,339.53,
Tax Expenses-Continued Operations,,,
Current Tax,11.19,13.64,
Less: MAT Credit Entitlement,0.00,0.00,
Deferred Tax,-0.22,0.14,
Tax For Earlier Years,0.00,0.00,
Total Tax Expenses,12.15,13.81,
Profit/Loss After Tax And Before ExtraOrdinary Items,326.78,325.72,
Profit/Loss From Continuing Operations,329.27,325.72,
Profit/Loss For The Period,329.27,325.72,
OTHER ADDITIONAL INFORMATION,,,
EARNINGS PER SHARE,,,
Basic EPS (Rs.),10.32,11.00,
Diluted EPS (Rs.),10.32,11.00,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
Imported Raw Materials,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,
Imported Stores And Spares,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,
Equity Share Dividend,501.75,295.85,
Tax On Dividend,68.17,38.21,
Equity Dividend Rate (%),800.00,500.00,
