0,1,2,3,4,5,6
Quarterly Results of HCL Technologies (in Rs. Cr.),Sep '12,Jun '12,Mar '12,Dec '11,Sep '11,
Net Sales/Income from operations,2696.72,2572.10,2164.72,2191.18,1979.22,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,2696.72,2572.10,2164.72,2191.18,1979.22,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,1113.40,1011.19,989.06,991.59,931.22,
depreciat,100.56,94.89,89.84,86.26,82.08,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,637.96,688.92,595.87,516.00,516.95,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",844.80,777.10,489.95,597.33,448.97,
Other Income,43.70,38.21,31.55,25.35,49.55,
"P/L Before Int., Excpt. Items & Tax",888.50,815.31,521.50,622.68,498.52,
Interest,22.84,23.92,28.92,22.14,22.29,
P/L Before Exceptional Items & Tax,865.66,791.39,492.58,600.54,476.23,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,865.66,791.39,492.58,600.54,476.23,
Tax,165.82,132.64,92.43,106.57,78.68,
P/L After Tax from Ordinary Activities,699.84,658.75,400.15,493.97,397.55,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,699.84,658.75,400.15,493.97,397.55,
Equity Share Capital,138.81,138.66,138.47,138.15,137.96,
Reserves Excluding Revaluation Reserves,7326.83,6465.15,6342.06,5854.87,5747.44,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,10.09,9.51,5.78,7.16,5.77,
Diluted EPS,9.90,9.33,5.68,7.03,5.66,
EPS After Extra Ordinary,,,,,,
Basic EPS.,10.09,9.51,5.78,7.16,5.77,
Diluted EPS.,9.90,9.33,5.68,7.03,5.66,
Public Share Holding,,,,,,
No Of Shares (Crores),26.25,26.18,25.08,24.74,24.65,
Share Holding (%),37.82,37.76,36.23,35.82,35.73,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,43.15,43.15,44.15,44.33,44.33,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,100.00,100.00,100.00,100.00,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,62.18,62.24,63.77,64.18,64.27,
