0,1,2,3,4,5,6
Quarterly Results of HCL Technologies (in Rs. Cr.),Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,
Net Sales/Income from operations,9556.00,9249.00,9404.00,8658.00,8362.00,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,9556.00,9249.00,9404.00,8658.00,8362.00,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,29.00,17.00,60.00,34.00,31.00,
Increase/Decrease in Stocks,-13.00,7.00,1.00,-4.00,-7.00,
Power & Fuel,--,--,--,--,--,
Employees Cost,3440.00,3378.00,2886.00,2835.00,2650.00,
depreciat,660.00,784.00,719.00,659.00,651.00,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,2358.00,2834.00,2250.00,2054.00,2212.00,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",3082.00,2229.00,3488.00,3080.00,2825.00,
Other Income,261.00,250.00,218.00,181.00,316.00,
"P/L Before Int., Excpt. Items & Tax",3343.00,2479.00,3706.00,3261.00,3141.00,
Interest,30.00,20.00,64.00,27.00,66.00,
P/L Before Exceptional Items & Tax,3313.00,2459.00,3642.00,3234.00,3075.00,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,3313.00,2459.00,3642.00,3234.00,3075.00,
Tax,641.00,2003.00,245.00,704.00,715.00,
P/L After Tax from Ordinary Activities,2672.00,456.00,3397.00,2530.00,2360.00,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,2672.00,456.00,3397.00,2530.00,2360.00,
Equity Share Capital,543.00,543.00,542.73,543.00,542.73,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,9.85,1.68,12.52,9.32,8.70,
Diluted EPS,9.85,1.68,12.52,9.32,8.70,
EPS After Extra Ordinary,,,,,,
Basic EPS.,9.84,1.68,12.52,9.32,8.70,
Diluted EPS.,9.85,1.68,12.52,9.32,8.70,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
