0,1,2,3,4,5,6
Key Financial Ratios of HCL Technologies (in Rs. Cr.),Jun 10,Jun 09,Jun 08,Jun 07,Jun 06,
Per Share Ratios,,,,,,
Basic EPS (Rs.),15.56,14.88,11.72,16.60,19.74,
Diluted EPS (Rs.),15.56,14.88,11.72,16.60,19.74,
Cash EPS (Rs.),19.60,18.64,14.98,19.29,24.03,
Book Value [ExclRevalReserve]/Share (Rs.),72.68,52.04,48.22,51.60,79.64,
Book Value [InclRevalReserve]/Share (Rs.),72.68,52.04,48.22,51.60,79.64,
Dividend / Share(Rs.),4.00,7.00,9.00,8.00,16.00,
Revenue from Operations/Share (Rs.),74.82,69.75,69.26,56.78,93.77,
PBDIT/Share (Rs.),22.46,21.95,16.66,20.60,24.84,
PBIT/Share (Rs.),18.42,18.19,13.39,17.91,20.55,
PBT/Share (Rs.),16.98,17.81,13.13,17.74,20.21,
Net Profit/Share (Rs.),15.56,14.88,11.72,16.60,19.74,
Profitability Ratios,,,,,,
PBDIT Margin (%),30.01,31.46,24.05,36.27,26.49,
PBIT Margin (%),24.62,26.08,19.33,31.54,21.91,
PBT Margin (%),22.69,25.53,18.96,31.24,21.55,
Net Profit Margin (%),20.79,21.33,16.91,29.23,21.04,
Return on Networth / Equity (%),21.40,28.59,24.29,32.16,24.78,
Return on Capital Employed (%),17.69,28.36,24.09,31.79,24.64,
Return on Assets (%),12.43,15.11,13.47,22.48,17.13,
Total Debt/Equity (X),0.28,0.15,0.01,0.01,0.01,
Asset Turnover Ratio (%),59.81,70.86,79.67,76.91,81.40,
Liquidity Ratios,,,,,,
Current Ratio (X),1.87,1.47,1.06,1.39,0.98,
Quick Ratio (X),1.87,1.44,1.06,1.39,0.98,
Inventory Turnover Ratio (X),421.82,53.73,0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),25.58,47.08,76.67,47.70,80.84,
Dividend Payout Ratio (CP) (%),20.31,37.59,59.94,41.06,66.40,
Earnings Retention Ratio (%),74.42,52.92,23.33,52.30,19.16,
Cash Earnings Retention Ratio (%),79.69,62.41,40.06,58.94,33.60,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),25177.37,11594.44,16043.84,22491.23,16147.58,
EV/Net Operating Revenue (X),4.96,2.48,3.48,5.97,5.32,
EV/EBITDA (X),16.51,7.88,14.45,16.45,20.10,
MarketCap/Net Operating Revenue (X),4.88,2.66,3.62,6.06,5.35,
Retention Ratios (%),74.41,52.91,23.32,52.29,19.15,
Price/BV (X),5.02,3.57,5.20,6.67,6.30,
Price/Net Operating Revenue,4.88,2.66,3.62,6.06,5.35,
Earnings Yield,0.04,0.08,0.05,0.05,0.04,
