0,1,2,3
Key Financial Ratios of HCL Technologies (in Rs. Cr.),Jun 05,Jun 04,
Per Share Ratios,,,
Basic EPS (Rs.),10.32,11.00,
Diluted EPS (Rs.),10.32,11.00,
Cash EPS (Rs.),12.43,13.01,
Book Value [ExclRevalReserve]/Share (Rs.),89.60,77.38,
Book Value [InclRevalReserve]/Share (Rs.),89.60,77.38,
Dividend / Share(Rs.),16.00,10.00,
Revenue from Operations/Share (Rs.),45.33,38.09,
PBDIT/Share (Rs.),12.90,13.55,
PBIT/Share (Rs.),10.78,11.63,
PBT/Share (Rs.),10.62,11.47,
Net Profit/Share (Rs.),10.32,11.00,
Profitability Ratios,,,
PBDIT Margin (%),28.44,35.57,
PBIT Margin (%),23.77,30.52,
PBT Margin (%),23.42,30.10,
Net Profit Margin (%),22.75,28.87,
Return on Networth / Equity (%),11.51,14.21,
Return on Capital Employed (%),11.13,13.63,
Return on Assets (%),9.03,10.96,
Total Debt/Equity (X),0.03,0.04,
Asset Turnover Ratio (%),39.71,37.97,
Liquidity Ratios,,,
Current Ratio (X),0.80,0.67,
Quick Ratio (X),0.80,0.67,
Inventory Turnover Ratio (X),0.00,0.00,
Dividend Payout Ratio (NP) (%),152.38,90.82,
Dividend Payout Ratio (CP) (%),126.43,76.82,
Earnings Retention Ratio (%),-52.38,9.18,
Cash Earnings Retention Ratio (%),-26.43,23.18,
Valuation Ratios,,,
Enterprise Value (Cr.),12425.85,8855.15,
EV/Net Operating Revenue (X),8.59,7.85,
EV/EBITDA (X),30.19,22.07,
MarketCap/Net Operating Revenue (X),8.58,7.83,
Retention Ratios (%),-52.38,9.17,
Price/BV (X),4.34,3.85,
Price/Net Operating Revenue,8.58,7.83,
Earnings Yield,0.03,0.04,
