0,1,2,3,4,5,6
Balance Sheet of Kotak Mahindra Bank (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,994.11,993.96,993.28,992.33,990.92,
Total Share Capital,994.11,993.96,1493.28,1492.33,1490.92,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,116151.51,95645.50,81966.67,70964.14,62236.05,
Total Reserves and Surplus,116151.51,95645.50,81966.67,70964.14,62236.05,
Total ShareHolders Funds,117239.89,96718.76,83520.25,72487.78,63729.13,
Deposits,499055.13,448953.75,363096.05,311684.11,280100.05,
Borrowings,48442.76,28368.10,23416.27,25967.12,23650.65,
Other Liabilities and Provisions,28886.40,26316.45,19829.91,19289.39,16008.80,
Total Capital and Liabilities,693624.18,600357.05,489862.48,429428.40,383488.62,
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,41699.19,36252.04,19965.56,16026.22,12493.61,
Balances with Banks Money at Call and Short Notice,24079.96,16536.36,12576.75,26897.72,27132.92,
Investments,181907.45,155403.76,121403.73,100580.22,105099.19,
Advances,426909.20,376075.27,319861.21,271253.60,223688.62,
Fixed Assets,2358.86,2155.30,1920.32,1643.72,1535.27,
Other Assets,16669.52,13934.32,14134.91,13026.92,13539.01,
Total Assets,693624.18,600357.05,489862.48,429428.40,383488.62,
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,0.00,1948.00,1780.00,1700.00,1604.00,
Number of Employees,0.00,77900.00,73481.00,66000.00,51700.00,
Capital Adequacy Ratios (%),22.25,20.55,21.80,22.69,22.26,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),0.00,19.25,20.80,21.67,21.38,
Tier 2 (%),0.00,1.30,1.00,1.02,0.88,
ASSETS QUALITY,,,,,,
Gross NPA,6133.85,5274.78,6419.00,6469.74,7425.51,
Gross NPA (%),1.42,1.39,1.80,2.34,3.25,
Net NPA,1343.44,1270.57,1479.00,1736.71,2705.17,
Net NPA (%),0.31,0.34,0.40,0.64,1.21,
Net NPA To Advances (%),2.65,0.34,0.40,0.34,1.21,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,0.00,47467.71,44655.24,38709.28,41272.80,
Contingent Liabilities,0.00,717281.18,455693.74,266610.63,193106.99,
