0,1,2,3,4,5,6
Balance Sheet of Kotak Mahindra Bank (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,386.18,385.16,373.30,370.34,368.44,
Total Share Capital,386.18,385.16,373.30,370.34,368.44,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,13754.91,11889.93,9073.65,7575.59,6428.04,
Total Reserves and Surplus,13754.91,11889.93,9073.65,7575.59,6428.04,
Total ShareHolders Funds,14144.08,12283.61,9464.49,7980.76,6833.39,
Deposits,74860.31,59072.33,51028.77,38536.52,29260.97,
Borrowings,12149.71,12895.58,20410.62,16595.52,11723.95,
Other Liabilities and Provisions,4857.97,3333.82,2789.81,2553.99,3032.36,
Total Capital and Liabilities,106012.07,87585.34,83693.69,65666.79,50850.67,
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,3928.30,2948.23,2207.90,2016.49,2107.72,
Balances with Banks Money at Call and Short Notice,2334.06,3031.66,1481.26,618.06,363.26,
Investments,30421.09,25484.55,28873.43,21566.81,17121.44,
Advances,66160.71,53027.63,48468.98,39079.23,29329.31,
Fixed Assets,1206.71,1106.94,464.42,449.97,425.61,
Other Assets,1961.21,1986.33,2197.69,1936.23,1503.33,
Total Assets,106012.07,87585.34,83693.69,65666.79,50850.67,
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,684.00,605.00,437.00,355.00,321.00,
Number of Employees,18000.00,16000.00,13500.00,12000.00,11000.00,
Capital Adequacy Ratios (%),17.17,18.83,16.05,17.52,19.92,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),16.18,17.77,14.71,15.74,17.99,
Tier 2 (%),0.99,1.06,1.34,1.78,1.93,
ASSETS QUALITY,,,,,,
Gross NPA,1237.23,1059.44,758.11,614.19,603.49,
Gross NPA (%),2.00,2.00,1.00,1.00,1.00,
Net NPA,609.08,573.56,311.41,237.38,211.16,
Net NPA (%),0.92,1.08,0.64,0.61,0.72,
Net NPA To Advances (%),1.00,1.00,1.00,1.00,1.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,4419.99,3015.60,1913.48,1576.66,1053.47,
Contingent Liabilities,68092.15,46903.54,42117.47,40052.52,35422.71,
