0,1,2,3,4,5,6
Profit & Loss account of Kotak Mahindra Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,20999.24,18371.25,14727.95,13402.10,12470.37,
Income from Investments,5257.25,4872.77,3933.00,3681.04,3456.01,
Interest on Balance with RBI and Other Inter-Bank funds,381.24,381.42,755.29,218.32,92.91,
Others,291.89,317.76,332.25,397.47,364.90,
Total Interest Earned,26929.61,23943.21,19748.50,17698.93,16384.18,
Other Income,5372.11,4604.03,4052.21,3477.16,2612.23,
Total Income,32301.72,28547.23,23800.70,21176.09,18996.42,
EXPENDITURE,,,,,,
Interest Expended,13429.95,12684.25,10216.81,9572.78,9483.81,
Payments to and Provisions for Employees,3911.12,3183.61,2950.23,2768.53,2816.97,
Depreciation,371.95,366.92,302.69,290.66,287.38,
Operating Expenses (excludes Employee Cost & Depreciation),4567.87,3964.27,3172.80,2559.30,2367.17,
Total Operating Expenses,8850.94,7514.80,6425.72,5618.50,5471.52,
Provision Towards Income Tax,1996.67,2504.34,2080.60,1800.31,1036.12,
Provision Towards Deferred Tax,-139.18,16.12,53.32,-63.74,-2.32,
Other Provisions and Contingencies,2216.17,962.39,939.95,836.74,0.00,
Total Provisions and Contingencies,4073.66,3482.85,3073.87,2573.31,1951.31,
Total Expenditure,26354.54,23681.90,19716.40,17764.59,16906.64,
Net Profit / Loss for The Year,5947.18,4865.33,4084.30,3411.50,2089.78,
Net Profit / Loss After EI & Prior Year Items,5947.18,4865.33,4084.30,3411.50,2089.78,
Profit / Loss Brought Forward,16919.29,13604.60,10756.29,8214.12,5095.26,
Total Profit / Loss available for Appropriations,22866.47,18469.93,14840.59,11625.62,8859.75,
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,1486.80,1216.34,1021.08,852.88,522.45,
Transfer To / From Capital Reserve,114.84,6.99,24.00,10.55,9.17,
Transfer To / From Revenue And Other Reserves,481.74,1.40,0.00,0.00,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,0.00,160.28,114.21,0.07,91.84,
Tax On Dividend,29.09,23.68,21.70,-0.68,18.70,
Balance Carried Over To Balance Sheet,20511.81,16919.29,13604.60,10756.29,8214.12,
Total Appropriations,22866.47,18469.93,14840.59,11625.62,8859.75,
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),30.88,25.52,21.54,18.57,11.42,
Diluted EPS (Rs.),30.84,25.48,21.51,18.55,11.40,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),0.00,16.00,14.00,12.00,10.00,
