0,1,2,3,4,5,6
Key Financial Ratios of Kotak Mahindra Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
Per Share Ratios,,,,,,
Basic EPS (Rs.),30.88,25.52,21.54,18.57,11.42,
Diluted EPS (Rs.),30.84,25.48,21.51,18.55,11.40,
Cash EPS (Rs.),33.03,27.41,23.02,20.11,12.96,
Book Value [Excl. Reval Reserve]/Share (Rs.),253.62,222.14,196.70,150.02,130.63,
Book Value [Incl. Reval Reserve]/Share (Rs.),253.62,222.14,196.70,150.02,130.63,
Dividend/Share (Rs.),0.00,0.80,0.70,0.60,0.50,
Operating Revenue / Share (Rs.),140.77,125.44,103.63,96.14,89.32,
Net Profit/Share (Rs.),31.09,25.49,21.43,18.53,11.39,
Per Employee Ratios,,,,,,
Interest Income/ Employee (Rs.),5382262.90,5734487.96,3949699.12,4022484.75,5216231.71,
Net Profit/ Employee (Rs.),1188628.09,1165265.18,816860.68,775340.41,665322.83,
Business/ Employee (Rs.),96448156.57,103363871.51,72472239.16,66706361.07,81919235.15,
Per Branch Ratios,,,,,,
Interest Income/ Branch (Rs.),168310088.75,159621384.00,142280227.67,129283658.88,122912106.53,
Net Profit/ Branches (Rs.),37169886.25,32435544.67,29425817.00,24919633.31,15677261.82,
Business/ Branches (Rs.),3016054416.25,2877167818.00,2610671439.48,2143959011.69,1930294955.74,
Key Performance Ratios,,,,,,
ROCE (%),2.86,2.77,2.80,2.90,2.20,
CASA (%),56.16,52.49,50.75,43.99,38.06,
Net Profit Margin (%),22.08,20.32,20.68,19.27,12.75,
Operating Profit Margin (%),31.51,30.67,30.06,29.40,21.96,
Return on Assets (%),1.65,1.55,1.54,1.58,1.08,
Return on Equity / Networth (%),12.25,11.47,10.89,12.35,8.72,
Net Interest Margin (X),3.74,3.60,3.59,3.78,3.58,
Cost to Income (%),46.90,47.37,47.30,48.42,57.51,
Interest Income/Total Assets (%),7.47,7.66,7.45,8.24,8.52,
Non-Interest Income/Total Assets (%),1.49,1.47,1.52,1.62,1.35,
Operating Profit/Total Assets (%),0.15,0.08,0.01,-0.03,-0.27,
Operating Expenses/Total Assets (%),2.45,2.40,2.42,2.61,2.84,
Interest Expenses/Total Assets (%),3.72,4.06,3.85,4.46,4.93,
Valuation Ratios,,,,,,
Enterprise Value (Rs. Cr),539805.51,502713.05,408715.23,331573.61,277636.35,
EV Per Net Sales (X),20.05,21.00,20.70,18.73,16.95,
Price To Book Value (X),5.11,6.01,5.33,5.81,5.21,
Price To Sales (X),9.21,10.65,10.12,9.07,7.62,
Retention Ratios (%),100.00,96.70,97.20,99.99,95.60,
Earnings Yield (X),0.02,0.02,0.02,0.02,0.02,
