0,1,2,3,4,5,6
Cash Flow of Larsen & Toubro (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,6344.06,6679.41,6457.09,6255.33,5568.56,
Net CashFlow From Operating Activities,3143.13,1047.24,2114.75,1081.58,3833.30,
Net Cash Used In Investing Activities,-1909.24,-1214.32,464.93,-1922.28,-2409.98,
Net Cash Used From Financing Activities,-1436.55,504.05,-2990.26,1015.61,-1124.84,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-202.66,336.97,-410.58,174.91,298.48,
Cash And Cash Equivalents Begin of Year,1794.12,1457.15,1905.26,1730.35,1431.87,
Cash And Cash Equivalents End Of Year,1591.46,1794.12,1494.68,1905.26,1730.35,
