0,1,2,3
Cash Flow of Larsen & Toubro (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,1286.14,768.83,
Net CashFlow From Operating Activities,112.01,330.41,
Net Cash Used In Investing Activities,236.28,200.21,
Net Cash Used From Financing Activities,104.46,-475.79,
Foreign Exchange Gains / Losses,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,452.75,54.83,
Cash And Cash Equivalents Begin of Year,375.27,320.44,
Cash And Cash Equivalents End Of Year,828.02,375.27,
