0,1,2,3,4,5,6
Profit & Loss account of Larsen & Toubro (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],57558.07,57163.85,61470.86,53737.78,44296.11,
Less: Excise/Sevice Tax/Other Levies,540.66,564.93,597.60,567.26,390.24,
Revenue From Operations [Net],57017.41,56598.92,60873.26,53170.52,43905.87,
Total Operating Revenues,57017.41,56598.92,60873.26,53170.52,43905.87,
Other Income,2283.37,1880.89,1850.90,1338.28,1147.46,
Total Revenue,59300.78,58479.81,62724.16,54508.80,45053.33,
EXPENSES,,,,,,
Cost Of Materials Consumed,5224.66,6002.80,10892.29,10141.75,7737.67,
Purchase Of Stock-In Trade,1296.75,1922.16,2063.23,2369.40,2282.55,
Operating And Direct Expenses,38153.67,35311.46,36128.91,29048.80,23980.59,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-278.53,110.03,-1132.03,-539.77,-532.64,
Employee Benefit Expenses,4150.84,4662.37,4436.32,3663.45,2830.08,
Finance Costs,1419.03,1076.08,982.40,666.10,619.25,
Depreciation And Amortisation Expenses,1008.15,792.42,818.47,699.46,599.22,
Other Expenses,1997.11,1932.03,2091.08,2223.03,1977.82,
Total Expenses,52956.72,51800.40,56267.07,48253.47,39484.77,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",6344.06,6679.41,6457.09,6255.33,5568.56,
Exceptional Items,357.16,588.50,175.95,55.00,262.07,
Profit/Loss Before Tax,6701.22,7267.91,6633.04,6310.33,5830.63,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1628.74,1686.53,1664.71,1814.13,1776.58,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,16.30,88.25,135.79,39.70,167.00,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,1645.04,1774.78,1800.50,1853.83,1943.58,
Profit/Loss After Tax And Before ExtraOrdinary Items,5056.18,5493.13,4832.54,4456.50,3887.05,
Profit/Loss From Continuing Operations,5056.18,5493.13,4910.65,4456.50,3957.89,
Profit/Loss For The Period,5056.18,5493.13,4910.65,4456.50,3957.89,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),54.00,59.00,80.00,73.00,65.00,
Diluted EPS (Rs.),54.00,59.00,79.00,72.00,64.00,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,1390.20,2200.97,4574.84,3943.31,3803.93,
Indigenous Raw Materials,3834.46,3801.83,6317.45,6198.44,3933.74,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,258.16,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,1190.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,1510.54,1320.85,1138.47,1010.46,882.84,
Tax On Dividend,134.33,77.80,85.86,101.44,112.82,
Equity Dividend Rate (%),813.00,713.00,925.00,825.00,725.00,
