0,1,2,3
Profit & Loss account of Larsen & Toubro (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
INCOME,,,
Revenue From Operations [Gross],13404.27,9917.52,
Less: Excise/Sevice Tax/Other Levies,214.56,272.20,
Revenue From Operations [Net],13189.71,9645.32,
Total Operating Revenues,13189.71,9645.32,
Other Income,622.49,356.67,
Total Revenue,13812.20,10001.99,
EXPENSES,,,
Cost Of Materials Consumed,4455.16,3053.74,
Purchase Of Stock-In Trade,847.15,744.51,
Operating And Direct Expenses,5170.22,4009.64,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-86.84,-432.59,
Employee Benefit Expenses,764.51,678.08,
Finance Costs,84.01,92.09,
Depreciation And Amortisation Expenses,87.52,84.53,
Other Expenses,1231.45,1045.54,
Total Expenses,12553.18,9275.54,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1259.02,726.45,
Exceptional Items,0.00,0.00,
Profit/Loss Before Tax,1259.02,726.45,
Tax Expenses-Continued Operations,,,
Current Tax,320.42,280.00,
Less: MAT Credit Entitlement,0.00,0.00,
Deferred Tax,-18.88,-44.62,
Tax For Earlier Years,0.00,0.00,
Total Tax Expenses,302.29,236.08,
Profit/Loss After Tax And Before ExtraOrdinary Items,956.73,490.37,
Profit/Loss From Continuing Operations,983.85,534.93,
Profit/Loss For The Period,983.85,534.93,
OTHER ADDITIONAL INFORMATION,,,
EARNINGS PER SHARE,,,
Basic EPS (Rs.),75.74,215.00,
Diluted EPS (Rs.),75.74,215.00,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
Imported Raw Materials,1531.13,774.26,
Indigenous Raw Materials,2159.95,1619.01,
"STORES, SPARES AND LOOSE TOOLS",,,
Imported Stores And Spares,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,
Equity Share Dividend,357.21,199.04,
Tax On Dividend,49.41,25.54,
Equity Dividend Rate (%),1375.00,800.00,
