0,1,2,3,4,5,6
Quarterly Results of Larsen & Toubro (in Rs. Cr.),Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,
Net Sales/Income from operations,22342.98,18648.76,15173.69,26941.74,17715.73,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,22342.98,18648.76,15173.69,26941.74,17715.73,
EXPENDITURE,,,,,,
Consumption of Raw Materials,10369.84,7406.59,5942.47,2036.85,7739.19,
Purchase of Traded Goods,358.51,342.32,280.21,404.05,276.25,
Increase/Decrease in Stocks,-657.22,-251.79,-504.59,-169.09,-691.06,
Power & Fuel,--,--,--,--,--,
Employees Cost,1507.83,1595.26,1496.09,1475.10,1428.80,
depreciat,268.32,259.53,254.25,266.51,264.88,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,660.15,860.68,680.22,1087.56,642.88,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,7963.58,7036.70,6041.02,18647.73,6645.56,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1871.97,1399.47,984.02,3193.03,1409.23,
Other Income,887.00,723.79,546.71,374.60,446.22,
"P/L Before Int., Excpt. Items & Tax",2758.97,2123.26,1530.73,3567.63,1855.45,
Interest,488.56,369.74,346.96,373.60,332.18,
P/L Before Exceptional Items & Tax,2270.41,1753.52,1183.77,3194.03,1523.27,
Exceptional Items,--,496.79,2.83,198.82,56.80,
P/L Before Tax,2270.41,2250.31,1186.60,3392.85,1580.07,
Tax,635.63,496.60,274.80,947.63,358.18,
P/L After Tax from Ordinary Activities,1634.78,1753.71,911.80,2445.22,1221.89,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1634.78,1753.71,911.80,2445.22,1221.89,
Equity Share Capital,280.44,280.44,280.35,280.27,280.21,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,11.66,12.51,6.51,17.45,8.72,
Diluted EPS,11.64,12.49,6.49,17.41,8.67,
EPS After Extra Ordinary,,,,,,
Basic EPS.,11.66,12.51,6.51,17.45,8.72,
Diluted EPS.,11.64,12.49,6.49,17.41,8.67,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
